"",BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA._T.FGED.L._T._X.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA._T.FGED.L._T._X.N_FLAGS
"",AVS - Gross external debt - Monetary financial institutions other than central bank - Long-term original maturity (over 1 year or no stated maturity) - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:43,
1999-10,538820,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,613675,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,694930,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,751093,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,755123,
2004-01,798811,
2004-04,808062,
2004-07,840839,
2004-10,831048,
2005-01,867202,
2005-04,939778,
2005-07,934559,
2005-10,925926,
2006-01,917421,
2006-04,894588,
2006-07,913929,
2006-10,909515,
2007-01,939341,
2007-04,956405,
2007-07,978148,
2007-10,990521,
2008-01,990771,
2008-04,962726,
2008-07,999529,
2008-10,1010884,
2009-01,993625,
2009-04,966714,
2009-07,949433,
2009-10,923266,
2010-01,951729,
2010-04,982555,
2010-07,951963,
2010-10,910589,
2011-01,866621,
2011-04,869409,
2011-07,916487,
2011-10,919409,
2012-01,913473,
2012-04,923857,
2012-07,921928,
2012-10,903681,
2013-01,884715,
2013-04,843415,
2013-07,815435,
2013-10,795950,
2014-01,787461,
2014-04,788398,
2014-07,809976,
