"",BBK01.OEXB15L,BBK01.OEXB15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:40,
2002-01,0.475,
2002-04,0.439,
2002-07,0.434,
2002-10,0.472,
2003-01,0.853,
2003-04,0.939,
2003-07,0.993,
2003-10,0.977,
2004-01,0.975,
2004-04,0.999,
2004-07,0.927,
2004-10,0.892,
2005-01,0.882,
2005-04,0.872,
2005-07,0.924,
2005-10,0.899,
2006-01,0.899,
2006-04,0.916,
2006-07,0.825,
2006-10,0.779,
2007-01,0.789,
2007-04,0.825,
2007-07,0.833,
2007-10,0.765,
2008-01,0.802,
2008-04,0.813,
2008-07,0.809,
2008-10,0.807,
2009-01,1.002,
2009-04,0.982,
2009-07,0.971,
2009-10,0.946,
2010-01,0.932,
2010-04,0.956,
2010-07,1.008,
2010-10,1.010,
2011-01,1.015,
2011-04,0.995,
2011-07,1.019,
2011-10,1.021,
2012-01,1.040,
2012-04,1.050,
2012-07,1.030,
2012-10,0.973,
2013-01,0.950,
2013-04,0.938,
2013-07,0.939,
2013-10,0.918,
2014-01,0.875,
2014-04,0.820,
2014-07,0.912,
