"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D2.F81.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D2.F81.T._T._X.N_FLAGS
2001-09,630.339,
2001-10,139.988,
2001-11,-13.785,
2001-12,1133.292,
2002-01,-1559.214,
2002-02,433.218,
2002-03,1118.978,
2002-04,-463.870,
2002-05,601.342,
2002-06,553.021,
2002-07,76.331,
2002-08,-652.308,
2002-09,88.838,
2002-10,285.080,
2002-11,-43.783,
2002-12,861.795,
2003-01,-1259.794,
2003-02,101.284,
2003-03,422.618,
2003-04,-735.088,
2003-05,-304.240,
2003-06,273.220,
2003-07,131.198,
2003-08,-347.021,
2003-09,-316.404,
2003-10,313.925,
2003-11,213.748,
2003-12,623.089,
2004-01,-1163.989,
2004-02,46.530,
2004-03,1009.371,
2004-04,-419.895,
2004-05,1.225,
2004-06,600.947,
2004-07,155.709,
2004-08,-283.816,
2004-09,887.659,
2004-10,48.564,
2004-11,-86.296,
2004-12,722.101,
2005-01,-1090.249,
2005-02,69.540,
2005-03,211.271,
2005-04,331.995,
2005-05,-421.849,
2005-06,1165.741,
2005-07,395.871,
2005-08,-574.314,
2005-09,649.325,
2005-10,-453.736,
2005-11,408.256,
2005-12,809.373,
2006-01,-1937.935,
2006-02,486.571,
2006-03,1109.604,
2006-04,-874.735,
2006-05,601.178,
2006-06,169.289,
2006-07,-478.083,
2006-08,-429.345,
2006-09,972.006,
2006-10,-305.083,
2006-11,120.187,
2006-12,1650.025,
2007-01,-622.993,
2007-02,188.526,
2007-03,1391.279,
2007-04,-1115.474,
2007-05,441.987,
2007-06,488.156,
2007-07,-647.670,
2007-08,-1062.916,
2007-09,834.716,
2007-10,599.505,
2007-11,356.754,
2007-12,-41.822,
2008-01,-562.446,
2008-02,992.524,
2008-03,-421.231,
2008-04,802.742,
2008-05,-255.917,
2008-06,80.642,
2008-07,436.388,
2008-08,-1240.358,
2008-09,1470.127,
2008-10,-232.144,
2008-11,-373.244,
2008-12,-180.491,
2009-01,-938.256,
2009-02,-573.254,
2009-03,568.235,
2009-04,-803.475,
2009-05,-71.131,
2009-06,1336.211,
2009-07,-806.161,
2009-08,-1210.088,
2009-09,1222.658,
2009-10,111.440,
2009-11,1007.177,
2009-12,795.787,
2010-01,-1139.372,
2010-02,648.577,
2010-03,597.838,
2010-04,-418.675,
2010-05,429.187,
2010-06,943.475,
2010-07,-1046.140,
2010-08,-512.143,
2010-09,1806.259,
2010-10,-439.510,
2010-11,390.362,
2010-12,1303.072,
2011-01,-2013.761,
2011-02,449.839,
2011-03,1030.109,
2011-04,-791.314,
2011-05,337.855,
2011-06,460.120,
2011-07,-1247.838,
2011-08,-655.615,
2011-09,2231.419,
2011-10,-1057.168,
2011-11,526.223,
2011-12,2106.785,
2012-01,-2517.069,
2012-02,649.855,
2012-03,807.718,
2012-04,-1144.554,
2012-05,1010.647,
2012-06,972.131,
2012-07,-1786.310,
2012-08,-1520.874,
2012-09,2865.865,
2012-10,-1313.925,
2012-11,1537.597,
2012-12,2491.843,
2013-01,-970.000,
2013-02,-227.000,
2013-03,111.000,
2013-04,-506.000,
2013-05,-247.000,
2013-06,12.000,
2013-07,35.000,
2013-08,-957.000,
2013-09,1407.000,
2013-10,1595.000,
2013-11,52.000,
2013-12,-414.000,
2014-01,-469.000,
2014-02,463.000,Provisional value
2014-03,1187.000,Provisional value
2014-04,-45.000,Provisional value
2014-05,-249.000,Provisional value
2014-06,635.000,Provisional value
2014-07,-799.000,Provisional value
2014-08,-1707.000,Provisional value
2014-09,2192.000,
2014-10,-581.000,
2014-11,-110.000,
2014-12,-388.000,Provisional value
