"",BBK01.OEBI08H,BBK01.OEBI08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:59,
2002-01,12.159,
2002-04,11.067,
2002-07,10.985,
2002-10,11.572,
2003-01,12.568,
2003-04,13.289,
2003-07,15.096,
2003-10,15.866,
2004-01,16.557,
2004-04,17.411,
2004-07,18.313,
2004-10,19.243,
2005-01,25.682,
2005-04,26.208,
2005-07,26.604,
2005-10,25.832,
2006-01,25.215,
2006-04,24.425,
2006-07,23.199,
2006-10,22.430,
2007-01,22.224,
2007-04,21.543,
2007-07,20.522,
2007-10,20.582,
2008-01,20.202,
2008-04,20.145,
2008-07,19.451,
2008-10,19.600,
2009-01,21.716,
2009-04,22.776,
2009-07,23.768,
2009-10,24.803,
2010-01,25.521,
2010-04,25.499,
2010-07,25.876,
2010-10,26.679,
2011-01,26.876,
2011-04,26.037,
2011-07,25.675,
2011-10,26.788,
2012-01,28.612,
2012-04,28.155,
2012-07,28.308,
2012-10,29.042,
2013-01,28.948,
2013-04,28.367,
2013-07,27.597,
2013-10,27.132,
2014-01,26.409,
2014-04,26.109,
2014-07,26.143,
