"",BBK01.OEGB02I,BBK01.OEGB02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:59,
2002-01,3.581,
2002-04,3.105,
2002-07,2.950,
2002-10,3.037,
2003-01,2.309,
2003-04,2.181,
2003-07,3.330,
2003-10,3.052,
2004-01,2.915,
2004-04,2.828,
2004-07,2.491,
2004-10,2.407,
2005-01,2.366,
2005-04,2.378,
2005-07,2.997,
2005-10,2.836,
2006-01,3.300,
2006-04,3.236,
2006-07,5.744,
2006-10,5.417,
2007-01,5.042,
2007-04,4.592,
2007-07,4.895,
2007-10,6.942,
2008-01,9.279,
2008-04,8.810,
2008-07,9.710,
2008-10,8.543,
2009-01,9.021,
2009-04,9.294,
2009-07,9.741,
2009-10,11.548,
2010-01,11.785,
2010-04,10.497,
2010-07,7.435,
2010-10,7.838,
2011-01,8.934,
2011-04,10.848,
2011-07,12.704,
2011-10,8.603,
2012-01,12.607,
2012-04,13.569,
2012-07,11.427,
2012-10,7.912,
2013-01,8.648,
2013-04,11.083,
2013-07,3.545,
2013-10,3.717,
2014-01,4.196,
2014-04,4.154,
2014-07,3.375,
