"",BBK01.QUX499,BBK01.QUX499_FLAGS
"","Consolidated German banks: Claims on non-residents, total (excluding participating interests) / Czech Republic / US dollars",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:32:27,
2002-03,1.623,
2002-04,1.540,
2002-05,1.201,
2002-06,1.222,
2002-07,1.127,
2002-08,0.980,
2002-09,1.099,
2002-10,1.280,
2002-11,0.920,
2002-12,0.784,
2003-01,1.072,
2003-02,0.690,
2003-03,0.525,
2003-04,0.587,
2003-05,0.896,
2003-06,0.654,
2003-07,0.448,
2003-08,0.418,
2003-09,0.533,
2003-10,0.409,
2003-11,0.866,
2003-12,0.404,
2004-01,0.395,
2004-02,0.346,
2004-03,0.420,
2004-04,0.381,
2004-05,0.488,
2004-06,0.498,
2004-07,0.580,
2004-08,0.377,
2004-09,0.304,
2004-10,0.591,
2004-11,0.415,
2004-12,0.519,
2005-01,0.472,
2005-02,0.531,
2005-03,0.625,
2005-04,0.437,
2005-05,0.440,
2005-06,0.232,
2005-07,0.290,
2005-08,0.220,
2005-09,0.364,
2005-10,0.328,
2005-11,0.234,
2005-12,0.307,
2006-01,0.427,
2006-02,0.487,
2006-03,0.439,
2006-04,0.383,
2006-05,0.386,
2006-06,0.274,
2006-07,0.248,
2006-08,0.416,
2006-09,0.393,
2006-10,0.323,
2006-11,0.149,
2006-12,0.322,
2007-01,0.483,
2007-02,0.165,
2007-03,0.310,
2007-04,0.183,
2007-05,0.172,
2007-06,0.197,
2007-07,0.342,
2007-08,0.161,
2007-09,0.349,
2007-10,0.213,
2007-11,0.388,
2007-12,0.181,
2008-01,0.255,
2008-02,0.291,
2008-03,0.475,
2008-04,0.563,
2008-05,0.409,
2008-06,0.758,
2008-07,0.428,
2008-08,0.535,
2008-09,0.448,
2008-10,0.787,
2008-11,0.388,
2008-12,0.553,
2009-01,0.463,
2009-02,0.847,
2009-03,1.019,
2009-04,0.783,
2009-05,0.724,
2009-06,0.518,
2009-07,1.033,
2009-08,0.784,
2009-09,0.821,
2009-10,0.778,
2009-11,0.401,
2009-12,0.485,
2010-01,0.344,
2010-02,0.404,
2010-03,0.284,
2010-04,0.504,
2010-05,0.582,
2010-06,0.791,
2010-07,0.403,
2010-08,0.476,
2010-09,0.376,
2010-10,0.196,
2010-11,0.296,
2010-12,0.359,
2011-01,0.203,
2011-02,0.228,
2011-03,0.179,
2011-04,0.150,
2011-05,0.076,
2011-06,0.117,
2011-07,0.104,
2011-08,0.103,
2011-09,0.084,
2011-10,0.044,
2011-11,0.249,
2011-12,0.069,
2012-01,0.056,
2012-02,0.129,
2012-03,0.081,
2012-04,0.020,
2012-05,0.019,
2012-06,0.113,
2012-07,0.006,
2012-08,0.030,
2012-09,0.026,
2012-10,0.091,
2012-11,0.099,
2012-12,0.034,
2013-01,0.117,
2013-02,0.185,
2013-03,0.316,
2013-04,0.284,
2013-05,0.195,
2013-06,0.042,
2013-07,0.026,
2013-08,0.035,
2013-09,0.004,
2013-10,0.059,
2013-11,0.016,
2013-12,0.086,
2014-01,0.407,
2014-02,0.099,
2014-03,0.052,
2014-04,0.076,
2014-05,0.125,
2014-06,0.171,
2014-07,0.508,
2014-08,0.167,
2014-09,0.377,
2014-10,0.224,
