"",BBEX3.M.TND.EUR.CA.AA.A01,BBEX3.M.TND.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Tunisia  / EUR 1 = TND ... (buying),
unit,TND (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:23,
1999-01,1.2645,
1999-02,1.2623,
1999-03,1.2581,
1999-04,1.2545,
1999-05,1.2507,
1999-06,1.2548,
1999-07,1.2704,
1999-08,1.2589,
1999-09,1.2594,
1999-10,1.2551,
1999-11,1.2471,
1999-12,1.2605,
2000-01,1.2445,
2000-02,1.2457,
2000-03,1.2472,
2000-04,1.2401,
2000-05,1.2663,
2000-06,1.2657,
2000-07,1.2571,
2000-08,1.2521,
2000-09,1.2503,
2000-10,1.2330,
2000-11,1.2478,
2000-12,1.2799,
2001-01,1.2706,
2001-02,1.2658,
2001-03,1.2601,
2001-04,1.2667,
2001-05,1.2583,
2001-06,1.2600,
2001-07,1.2770,
2001-08,1.2954,
2001-09,1.2940,
2001-10,1.2917,
2001-11,1.2833,
2001-12,1.2857,
2002-01,1.2749,
2002-02,1.2790,
2002-03,1.2930,
2002-04,1.3101,
2002-05,1.3316,
2002-06,1.3493,
2002-07,1.3391,
2002-08,1.3468,
2002-09,1.3519,
2002-10,1.3587,
2002-11,1.3634,
2002-12,1.3941,
2003-01,1.4006,
2003-02,1.4059,
2003-03,1.4168,
2003-04,1.4355,
2003-05,1.4694,
2003-06,1.4488,
2003-07,1.4466,
2003-08,1.4240,
2003-09,1.4609,
2003-10,1.4656,
2003-11,1.4828,
2003-12,1.5199,
2004-01,1.5129,
2004-02,1.5233,
2004-03,1.5160,
2004-04,1.5190,
2004-05,1.5315,
2004-06,1.5272,
2004-07,1.5276,
2004-08,1.5303,
2004-09,1.5438,
2004-10,1.5588,
2004-11,1.5943,
2004-12,1.6206,
2005-01,1.5935,
2005-02,1.6084,
2005-03,1.6032,
2005-04,1.6070,
2005-05,1.5974,
2005-06,1.5950,
2005-07,1.6042,
2005-08,1.6091,
2005-09,1.6059,
2005-10,1.6107,
2005-11,1.6060,
2005-12,1.6074,
2006-01,1.6159,
2006-02,1.6043,
2006-03,1.6246,
2006-04,1.6472,
2006-05,1.6707,
2006-06,1.6708,
2006-07,1.6733,
2006-08,1.6810,
2006-09,1.6782,
2006-10,1.6793,
2006-11,1.7021,
2006-12,1.7034,
2007-01,1.6944,
2007-02,1.7056,
2007-03,1.7203,
2007-04,1.7426,
2007-05,1.7350,
2007-06,1.7358,
2007-07,1.7333,
2007-08,1.7298,
2007-09,1.7569,
2007-10,1.7674,
2007-11,1.7814,
2007-12,1.7852,
2008-01,1.7891,
2008-02,1.8001,
2008-03,1.8212,
2008-04,1.8136,
2008-05,1.8131,
2008-06,1.8260,
2008-07,1.8210,
2008-08,1.7943,
2008-09,1.7743,
2008-10,1.7306,
2008-11,1.7745,
2008-12,1.8297,
2009-01,1.8250,
2009-02,1.8382,
2009-03,1.8524,
2009-04,1.8547,
2009-05,1.8790,
2009-06,1.8786,
2009-07,1.8801,
2009-08,1.8887,
2009-09,1.8919,
2009-10,1.8974,
2009-11,1.9033,
2009-12,1.8812,
2010-01,1.8670,
2010-02,1.8674,
2010-03,1.8782,
2010-04,1.8759,
2010-05,1.8332,
2010-06,1.8407,
2010-07,1.8789,
2010-08,1.8744,
2010-09,1.9227,
2010-10,1.9211,
2010-11,1.8911,
2010-12,1.9032,
2011-01,1.9179,
2011-02,1.9220,
2011-03,1.9458,
2011-04,1.9769,
2011-05,1.9528,
2011-06,1.9612,
2011-07,1.9433,
2011-08,1.9532,
2011-09,1.9094,
2011-10,1.9461,
2011-11,1.9138,
2011-12,1.9238,
2012-01,1.9518,
2012-02,1.9800,
2012-03,1.9774,
2012-04,2.0245,
2012-05,1.9915,
2012-06,1.9970,
2012-07,1.9854,
2012-08,2.0010,
2012-09,2.0226,
2012-10,2.0269,
2012-11,2.0375,
2012-12,2.0451,
2013-01,2.0801,
2013-02,2.0614,
2013-03,2.0435,
2013-04,2.0897,
2013-05,2.1219,
2013-06,2.1302,
2013-07,2.1671,
2013-08,2.1712,
2013-09,2.1837,
2013-10,2.2336,
2013-11,2.2635,
2013-12,2.2583,
2014-01,2.1684,
2014-02,2.1758,
2014-03,2.1745,
2014-04,2.2037,
2014-05,2.2186,
2014-06,2.2877,
2014-07,2.2987,
2014-08,2.2888,
2014-09,2.2613,
2014-10,2.2688,
2014-11,2.2818,
2014-12,2.2567,
2015-01,2.1858,
"","Source: Banque Centrale de Tunisie, Tunis",
