"",BBK01.WZ3335,BBK01.WZ3335_FLAGS
"",Term structure of interest rates on Pfandbriefe (method by Svensson) / residual maturity of 13.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:52,
2000-01,6.28,
2000-02,6.14,
2000-03,6.07,
2000-04,6.20,
2000-05,6.09,
2000-06,6.12,
2000-07,6.11,
2000-08,6.17,
2000-09,6.17,
2000-10,6.12,
2000-11,5.96,
2000-12,5.82,
2001-01,5.76,
2001-02,5.73,
2001-03,5.78,
2001-04,5.93,
2001-05,5.95,
2001-06,5.92,
2001-07,5.78,
2001-08,5.79,
2001-09,5.60,
2001-10,5.37,
2001-11,5.53,
2001-12,5.60,
2002-01,5.61,
2002-02,5.75,
2002-03,5.79,
2002-04,5.79,
2002-05,5.69,
2002-06,5.59,
2002-07,5.40,
2002-08,5.26,
2002-09,5.19,
2002-10,5.33,
2002-11,5.17,
2002-12,5.03,
2003-01,4.86,
2003-02,4.86,
2003-03,5.01,
2003-04,4.72,
2003-05,4.50,
2003-06,4.71,
2003-07,4.89,
2003-08,4.92,
2003-09,4.91,
2003-10,5.03,
2003-11,5.01,
2003-12,4.93,
2004-01,4.98,
2004-02,4.80,
2004-03,4.79,
2004-04,4.94,
2004-05,5.00,
2004-06,4.77,
2004-07,4.95,
2004-08,4.81,
2004-09,4.75,
2004-10,4.66,
2004-11,4.54,
2004-12,4.39,
2005-01,4.23,
2005-02,4.30,
2005-03,4.28,
2005-04,4.10,
2005-05,4.03,
2005-06,3.89,
2005-07,3.90,
2005-08,3.82,
2005-09,3.74,
2005-10,3.96,
2005-11,4.00,
2005-12,3.92,
2006-01,3.97,
2006-02,3.99,
2006-03,4.21,
2006-04,4.40,
2006-05,4.37,
2006-06,4.48,
2006-07,4.39,
2006-08,4.33,
2006-09,4.20,
2006-10,4.19,
2006-11,4.13,
2006-12,4.17,
2007-01,4.46,
2007-02,4.32,
2007-03,4.41,
2007-04,4.56,
2007-05,4.72,
2007-06,4.90,
2007-07,4.83,
2007-08,4.73,
2007-09,4.80,
2007-10,4.71,
2007-11,4.77,
2007-12,4.93,
2008-01,4.75,
2008-02,4.79,
2008-03,4.78,
2008-04,4.91,
2008-05,5.02,
2008-06,5.08,
2008-07,5.07,
2008-08,4.91,
2008-09,4.88,
2008-10,4.73,
2008-11,4.52,
2008-12,4.48,
2009-01,4.62,
2009-02,4.51,
2009-03,4.58,
2009-04,4.62,
2009-05,4.84,
2009-06,4.67,
2009-07,4.58,
2009-08,4.45,
2009-09,4.46,
2009-10,4.49,
2009-11,4.41,
2009-12,4.49,
2010-01,4.43,
2010-02,4.26,
2010-03,4.21,
2010-04,4.13,
2010-05,3.99,
2010-06,3.97,
2010-07,4.00,
2010-08,3.40,
2010-09,3.61,
2010-10,3.84,
2010-11,4.07,
2010-12,4.25,
2011-01,4.30,
2011-02,4.35,
2011-03,4.46,
2011-04,4.45,
2011-05,4.23,
2011-06,4.33,
2011-07,4.19,
2011-08,4.01,
2011-09,3.79,
2011-10,4.02,
2011-11,4.07,
2011-12,3.80,
2012-01,3.72,
2012-02,3.64,
2012-03,3.72,
2012-04,3.65,
2012-05,2.98,
2012-06,3.37,
2012-07,3.13,
2012-08,2.98,
2012-09,2.79,
2012-10,3.14,
2012-11,3.09,
2012-12,2.75,
2013-01,2.88,
2013-02,2.97,
2013-03,3.03,
2013-04,2.64,
2013-05,2.79,
2013-06,2.97,
2013-07,2.76,
2013-08,3.09,
2013-09,3.03,
2013-10,2.96,
2013-11,2.98,
2013-12,3.10,
2014-01,2.86,
2014-02,2.70,
2014-03,2.64,
2014-04,2.56,
2014-05,2.30,
2014-06,2.10,
2014-07,1.99,
2014-08,1.67,
2014-09,1.75,
2014-10,1.59,
2014-11,1.38,
2014-12,1.26,
2015-01,1.09,
