"",BBK01.OEYO01M,BBK01.OEYO01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:11,
2002-01,2.223,
2002-04,2.156,
2002-07,2.085,
2002-10,2.044,
2003-01,2.075,
2003-04,2.066,
2003-07,2.034,
2003-10,1.974,
2004-01,1.983,
2004-04,1.968,
2004-07,1.917,
2004-10,1.879,
2005-01,1.843,
2005-04,1.815,
2005-07,1.782,
2005-10,1.756,
2006-01,1.746,
2006-04,1.708,
2006-07,1.661,
2006-10,1.579,
2007-01,1.548,
2007-04,1.533,
2007-07,1.525,
2007-10,1.465,
2008-01,1.422,
2008-04,1.363,
2008-07,1.332,
2008-10,1.287,
2009-01,1.560,
2009-04,1.529,
2009-07,1.533,
2009-10,1.452,
2010-01,1.312,
2010-04,1.323,
2010-07,1.313,
2010-10,1.313,
2011-01,1.311,
2011-04,1.309,
2011-07,1.332,
2011-10,1.327,
2012-01,1.322,
2012-04,1.299,
2012-07,1.271,
2012-10,1.232,
2013-01,1.171,
2013-04,1.700,
2013-07,1.725,
2013-10,1.722,
2014-01,1.730,
2014-04,1.669,
2014-07,1.622,
