"",BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:24,
1991-01,2116.779,
1991-04,4612.559,
1991-07,3161.696,
1991-10,2621.230,
1992-01,6502.831,
1992-04,9401.950,
1992-07,5325.477,
1992-10,15444.003,
1993-01,18817.655,
1993-04,8956.075,
1993-07,3143.011,
1993-10,-14458.549,
1994-01,5996.794,
1994-04,2859.955,
1994-07,7082.127,
1994-10,8788.166,
1995-01,-1905.165,
1995-04,4110.980,
1995-07,536.865,
1995-10,5739.955,
1996-01,5668.171,
1996-04,763.117,
1996-07,-32.754,
1996-10,6094.351,
1997-01,10144.735,
1997-04,18538.270,
1997-07,15111.172,
1997-10,9263.499,
1998-01,28523.812,
1998-04,23813.257,
1998-07,17620.572,
1998-10,32738.657,
1999-01,50391.628,
1999-04,29256.342,
1999-07,33940.079,
1999-10,34006.607,
2000-01,69831.793,
2000-04,24748.531,
2000-07,45715.155,
2000-10,23358.173,
2001-01,45307.092,
2001-04,30362.574,
2001-07,15192.351,
2001-10,15904.566,
2002-01,32444.790,
2002-04,10746.926,
2002-07,10566.073,
2002-10,4465.532,
2003-01,8892.533,
2003-04,14958.055,
2003-07,8372.923,
2003-10,10004.150,
2004-01,27046.533,
2004-04,26306.752,
2004-07,17095.424,
2004-10,13813.755,
2005-01,62501.440,
2005-04,50501.082,
2005-07,16798.306,
2005-10,41160.820,
2006-01,52265.427,
2006-04,21527.563,
2006-07,12445.926,
2006-10,39304.417,
2007-01,51223.042,
2007-04,42705.239,
2007-07,-6042.767,
2007-10,2187.049,
2008-01,34382.829,
2008-04,33690.574,
2008-07,-12693.845,
2008-10,-50415.668,
2009-01,15420.843,
2009-04,25947.866,
2009-07,30045.818,
2009-10,13256.588,
2010-01,31581.655,
2010-04,2193.038,
2010-07,17261.154,
2010-10,81981.914,
2011-01,23609.926,
2011-04,10537.078,
2011-07,-10593.814,
2011-10,3190.967,
2012-01,34440.968,
2012-04,84.801,
2012-07,24971.739,
2012-10,34272.394,
2013-01,37115.347,
2013-04,27997.188,
2013-07,14225.367,
2013-10,12963.216,
2014-01,32090.776,Provisional value
2014-04,28853.522,Provisional value
2014-07,17854.047,Provisional value
2014-10,20565.452,Provisional value
