"",BBK01.PQE357,BBK01.PQE357_FLAGS
"",Lending to domestic enterprises / Long-term / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:43,
1968-10,0.020,
1969-01,0.023,
1969-04,0.026,
1969-07,0.032,
1969-10,0.035,
1970-01,0.030,
1970-04,0.029,
1970-07,0.031,
1970-10,0.030,
1971-01,0.039,
1971-04,0.040,
1971-07,0.084,
1971-10,0.091,
1972-01,0.126,
1972-04,0.164,
1972-07,0.208,
1972-10,0.244,
1973-01,0.285,
1973-04,0.295,
1973-07,0.310,
1973-10,0.349,
1974-01,0.313,
1974-04,0.340,
1974-07,0.364,
1974-10,0.407,
1975-01,0.408,
1975-04,0.402,
1975-07,0.411,
1975-10,0.462,
1976-01,0.458,
1976-04,0.455,
1976-07,0.208,
1976-10,0.230,
1977-01,0.221,
1977-04,0.225,
1977-07,0.164,
1977-10,0.193,
1978-01,0.181,
1978-04,0.194,
1978-07,0.217,
1978-10,0.246,
1979-01,0.260,
1979-04,0.281,
1979-07,0.315,
1979-10,0.320,
1980-01,0.323,
1980-04,0.314,
1980-07,0.308,
1980-10,0.339,
1981-01,0.310,
1981-04,0.341,
1981-07,0.343,
1981-10,0.404,
1982-01,0.360,
1982-04,0.353,
1982-07,0.376,
1982-10,0.374,
1983-01,0.354,
1983-04,0.349,
1983-07,0.356,
1983-10,0.382,
1984-01,0.396,
1984-04,0.409,
1984-07,0.435,
1984-10,0.519,
1985-01,0.504,
1985-04,0.509,
1985-07,0.525,
1985-10,0.584,
1986-01,0.608,
1986-04,0.609,
1986-07,0.613,
1986-10,0.572,
1987-01,0.628,
1987-04,0.638,
1987-07,0.640,
1987-10,0.683,
1988-01,0.671,
1988-04,0.615,
1988-07,0.659,
1988-10,0.699,
1989-01,0.664,
1989-04,0.654,
1989-07,0.637,
1989-10,0.609,
1990-01,0.595,
1990-04,0.545,
1990-07,0.531,
1990-10,0.486,
1991-01,0.493,
1991-04,0.499,
1991-07,0.476,
1991-10,0.525,
1992-01,0.504,
1992-04,0.433,
1992-07,0.426,
1992-10,0.470,
1993-01,0.448,
1993-04,0.505,
1993-07,0.539,
1993-10,0.571,
1994-01,0.533,
1994-04,0.525,
1994-07,0.572,
1994-10,0.651,
1995-01,1.315,
1995-04,1.307,
1995-07,1.264,
1995-10,1.411,
1996-01,1.520,
1996-04,1.570,
1996-07,1.553,
1996-10,1.838,
1997-01,1.902,
1997-04,2.018,
1997-07,1.907,
1997-10,1.957,
1998-01,2.101,
1998-04,1.984,
1998-07,2.105,
1998-10,2.282,
1999-01,1.614,
1999-04,1.801,
1999-07,1.970,
1999-10,1.956,
2000-01,2.297,
2000-04,2.259,
2000-07,2.254,
2000-10,2.261,
2001-01,2.379,
2001-04,2.215,
2001-07,2.363,
2001-10,2.456,
2002-01,2.679,
2002-04,2.695,
2002-07,3.005,
2002-10,2.802,
2003-01,2.876,
2003-04,2.912,
2003-07,3.054,
2003-10,3.120,
2004-01,3.308,
2004-04,3.444,
2004-07,3.367,
2004-10,3.449,
2005-01,3.473,
2005-04,3.869,
2005-07,4.249,
2005-10,5.068,
2006-01,5.157,
2006-04,5.532,
2006-07,5.260,
2006-10,5.261,
2007-01,5.704,
2007-04,5.682,
2007-07,8.185,
2007-10,9.187,
2008-01,10.037,
2008-04,10.175,
2008-07,10.427,
2008-10,10.305,
2009-01,10.287,
2009-04,10.141,
2009-07,10.022,
2009-10,9.543,
2010-01,9.548,
2010-04,9.128,
2010-07,11.725,
2010-10,11.590,
2011-01,11.286,
2011-04,10.703,
2011-07,10.211,
2011-10,10.157,
2012-01,10.377,
2012-04,10.111,
2012-07,9.639,
2012-10,5.107,
2013-01,5.270,
2013-04,5.355,
2013-07,5.384,
2013-10,5.389,
2014-01,5.295,
2014-04,5.469,
2014-07,5.832,
2014-10,6.099,
