"",BBK01.OEBM01Q,BBK01.OEBM01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:18,
2002-01,0.303,
2002-04,0.310,
2002-07,0.287,
2002-10,0.234,
2003-01,0.273,
2003-04,0.212,
2003-07,0.222,
2003-10,0.227,
2004-01,0.134,
2004-04,0.096,
2004-07,0.098,
2004-10,0.109,
2005-01,0.106,
2005-04,0.107,
2005-07,0.096,
2005-10,0.126,
2006-01,0.119,
2006-04,0.121,
2006-07,0.157,
2006-10,0.175,
2007-01,0.149,
2007-04,0.173,
2007-07,0.153,
2007-10,0.155,
2008-01,0.151,
2008-04,0.189,
2008-07,0.160,
2008-10,0.182,
2009-01,0.107,
2009-04,0.128,
2009-07,0.106,
2009-10,0.087,
2010-01,0.080,
2010-04,0.075,
2010-07,0.077,
2010-10,0.100,
2011-01,0.046,
2011-04,0.058,
2011-07,0.070,
2011-10,0.112,
2012-01,0.244,
2012-04,0.164,
2012-07,0.103,
2012-10,0.153,
2013-01,0.095,
2013-04,0.074,
2013-07,0.068,
2013-10,0.080,
2014-01,0.136,
2014-04,0.067,
2014-07,0.064,
