"",BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:48,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,33.745,
1992-07,87.735,
1992-10,13.462,
1993-01,87.603,
1993-04,-31.151,
1993-07,35.554,
1993-10,-11.318,
1994-01,19.095,
1994-04,10.603,
1994-07,-16.565,
1994-10,-0.265,
1995-01,15.563,
1995-04,2.092,
1995-07,-4.054,
1995-10,8.734,
1996-01,5.585,
1996-04,9.649,
1996-07,7.036,
1996-10,53.945,
1997-01,-69.864,
1997-04,65.760,
1997-07,58.265,
1997-10,-50.558,
1998-01,-5.163,
1998-04,-0.752,
1998-07,218.119,
1998-10,86.961,
1999-01,-22.765,
1999-04,40.056,
1999-07,-109.314,
1999-10,33.604,
2000-01,16.874,
2000-04,-144.880,
2000-07,35.425,
2000-10,11.243,
2001-01,190.419,
2001-04,-162.231,
2001-07,171.674,
2001-10,147.630,
2002-01,-51.796,
2002-04,70.270,
2002-07,-240.181,
2002-10,-124.204,
2003-01,242.940,
2003-04,-337.036,
2003-07,118.305,
2003-10,88.475,
2004-01,-130.151,
2004-04,-66.807,
2004-07,-93.945,
2004-10,153.899,
2005-01,59.071,
2005-04,-18.512,
2005-07,-67.220,
2005-10,76.415,
2006-01,-126.497,
2006-04,143.181,
2006-07,11.347,
2006-10,126.858,
2007-01,-108.133,
2007-04,235.152,
2007-07,-43.173,
2007-10,108.832,
2008-01,-77.041,
2008-04,32.951,
2008-07,-80.514,
2008-10,-198.501,
2009-01,52.225,
2009-04,-5.906,
2009-07,-32.245,
2009-10,84.102,
2010-01,-34.174,
2010-04,162.809,
2010-07,-11.208,
2010-10,-184.278,
2011-01,228.239,
2011-04,8.042,
2011-07,28.806,
2011-10,-142.038,
2012-01,27.692,
2012-04,-93.513,
2012-07,-46.583,
2012-10,-77.594,
2013-01,177.948,
2013-04,263.959,
2013-07,3.622,
2013-10,70.863,
2014-01,172.686,Provisional value
2014-04,149.317,Provisional value
2014-07,39.865,Provisional value
2014-10,-107.042,Provisional value
