"",BBK01.OEXB13P,BBK01.OEXB13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:26,
2002-01,0.096,
2002-04,0.098,
2002-07,0.099,
2002-10,0.102,
2003-01,0.102,
2003-04,0.102,
2003-07,0.102,
2003-10,0.103,
2004-01,0.102,
2004-04,0.099,
2004-07,0.099,
2004-10,0.097,
2005-01,0.096,
2005-04,0.096,
2005-07,0.096,
2005-10,0.099,
2006-01,0.100,
2006-04,0.100,
2006-07,0.100,
2006-10,0.103,
2007-01,0.106,
2007-04,0.100,
2007-07,0.103,
2007-10,0.118,
2008-01,0.118,
2008-04,0.187,
2008-07,0.189,
2008-10,0.190,
2009-01,0.187,
2009-04,0.189,
2009-07,0.187,
2009-10,0.187,
2010-01,0.184,
2010-04,0.185,
2010-07,0.183,
2010-10,0.180,
2011-01,0.180,
2011-04,0.177,
2011-07,0.169,
2011-10,0.168,
2012-01,0.167,
2012-04,0.169,
2012-07,0.167,
2012-10,0.170,
2013-01,0.177,
2013-04,0.176,
2013-07,0.172,
2013-10,0.173,
2014-01,0.169,
2014-04,0.165,
2014-07,0.164,
