"",BBSF2.M.1.P.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:08,
1970-01,49,
1970-02,49,
1970-03,49,
1970-04,49,
1970-05,50,
1970-06,50,
1970-07,51,
1970-08,53,
1970-09,55,
1970-10,56,
1970-11,57,
1970-12,60,
1971-01,60,
1971-02,61,
1971-03,63,
1971-04,79,
1971-05,80,
1971-06,82,
1971-07,83,
1971-08,83,
1971-09,86,
1971-10,87,
1971-11,89,
1971-12,90,
1972-01,90,
1972-02,90,
1972-03,90,
1972-04,94,
1972-05,95,
1972-06,95,
1972-07,96,
1972-08,96,
1972-09,96,
1972-10,96,
1972-11,97,
1972-12,97,
1973-01,97,
1973-02,98,
1973-03,99,
1973-04,99,
1973-05,101,
1973-06,101,
1973-07,100,
1973-08,100,
1973-09,101,
1973-10,105,
1973-11,105,
1973-12,105,
1974-01,105,
1974-02,105,
1974-03,105,
1974-04,102,
1974-05,104,
1974-06,104,
1974-07,104,
1974-08,104,
1974-09,104,
1974-10,104,
1974-11,104,
1974-12,104,
1975-01,104,
1975-02,104,
1975-03,104,
1975-04,104,
1975-05,104,
1975-06,104,
1975-07,105,
1975-08,105,
1975-09,104,
1975-10,104,
1975-11,104,
1975-12,104,
1976-01,104,
1976-02,103,
1976-03,105,
1976-04,105,
1976-05,105,
1976-06,105,
1976-07,101,
1976-08,101,
1976-09,101,
1976-10,102,
1976-11,103,
1976-12,105,
1977-01,106,
1977-02,106,
1977-03,106,
1977-04,107,
1977-05,107,
1977-06,108,
1977-07,108,
1977-08,108,
1977-09,110,
1977-10,111,
1977-11,114,
1977-12,114,
1978-01,114,
1978-02,115,
1978-03,115,
1978-04,115,
1978-05,115,
1978-06,116,
1978-07,117,
1978-08,117,
1978-09,117,
1978-10,117,
1978-11,118,
1978-12,117,
1979-01,118,
1979-02,118,
1979-03,118,
1979-04,119,
1979-05,119,
1979-06,117,
1979-07,117,
1979-08,117,
1979-09,117,
1979-10,118,
1979-11,119,
1979-12,119,
1980-01,119,
1980-02,119,
1980-03,117,
1980-04,117,
1980-05,117,
1980-06,117,
1980-07,118,
1980-08,118,
1980-09,117,
1980-10,117,
1980-11,118,
1980-12,117,
1981-01,117,
1981-02,117,
1981-03,118,
1981-04,118,
1981-05,118,
1981-06,118,
1981-07,118,
1981-08,118,
1981-09,119,
1981-10,119,
1981-11,121,
1981-12,121,
1982-01,121,
1982-02,121,
1982-03,121,
1982-04,122,
1982-05,123,
1982-06,123,
1982-07,122,
1982-08,122,
1982-09,121,
1982-10,121,
1982-11,122,
1982-12,122,
1983-01,122,
1983-02,123,
1983-03,124,
1983-04,124,
1983-05,124,
1983-06,125,
1983-07,129,
1983-08,129,
1983-09,129,
1983-10,130,
1983-11,132,
1983-12,131,
1984-01,131,
1984-02,132,
1984-03,133,
1984-04,133,
1984-05,133,
1984-06,134,
1984-07,135,
1984-08,135,
1984-09,134,
1984-10,134,
1984-11,136,
1984-12,136,
1985-01,137,
1985-02,137,
1985-03,137,
1985-04,139,
1985-05,142,
1985-06,142,
1985-07,143,
1985-08,143,
1985-09,144,
1985-10,145,
1985-11,145,
1985-12,145,
1986-01,147,
1986-02,148,
1986-03,148,
1986-04,151,
1986-05,154,
1986-06,154,
1986-07,155,
1986-08,156,
1986-09,156,
1986-10,158,
1986-11,158,
1986-12,158,
1987-01,158,
1987-02,158,
1987-03,158,
1987-04,159,
1987-05,162,
1987-06,164,
1987-07,164,
1987-08,165,
1987-09,165,
1987-10,166,
1987-11,170,
1987-12,171,
1988-01,172,
1988-02,175,
1988-03,176,
1988-04,179,
1988-05,186,
1988-06,188,
1988-07,192,
1988-08,197,
1988-09,198,
1988-10,202,
1988-11,206,
1988-12,208,
1989-01,219,
1989-02,222,
1989-03,226,
1989-04,234,
1989-05,239,
1989-06,242,
1989-07,246,
1989-08,249,
1989-09,251,
1989-10,258,
1989-11,261,
1989-12,266,
1990-01,269,
1990-02,287,
1990-03,326,
1990-04,326,
1990-05,326,
1990-06,326,
1990-07,328,
1990-08,328,
1990-09,325,
1990-10,333,
1990-11,343,
1990-12,347,
1991-01,353,
1991-02,353,
1991-03,353,
1991-04,359,
1991-05,367,
1991-06,374,
1991-07,379,
1991-08,383,
1991-09,386,
1991-10,397,
1991-11,408,
1991-12,411,
1992-01,421,
1992-02,421,
1992-03,425,
1992-04,429,
1992-05,433,
1992-06,435,
1992-07,438,
1992-08,440,
1992-09,439,
1992-10,443,
1992-11,447,
1992-12,448,
1993-01,451,
1993-02,453,
1993-03,452,
1993-04,458,
1993-05,459,
1993-06,463,
1993-07,465,
1993-08,468,
1993-09,468,
1993-10,473,
1993-11,477,
1993-12,485,
1994-01,489,
1994-02,494,
1994-03,497,
1994-04,495,
1994-05,508,
1994-06,508,
1994-07,511,
1994-08,513,
1994-09,519,
1994-10,531,
1994-11,540,
1994-12,556,
1995-01,561,
1995-02,563,
1995-03,566,
1995-04,570,
1995-05,578,
1995-06,581,
1995-07,585,
1995-08,589,
1995-09,587,
1995-10,592,
