"",BBEX3.M.BDT.EUR.CA.AC.A01,BBEX3.M.BDT.EUR.CA.AC.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Bangladesh * / EUR 1 = BDT ... (middle),
unit,BDT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:58,
1999-01,55.12755,
1999-02,53.47130,
1999-03,51.92660,
1999-04,51.73985,
1999-05,50.53785,
1999-06,50.07625,
1999-07,52.75965,
1999-08,51.93050,
1999-09,52.64820,
1999-10,52.20765,
1999-11,51.46670,
1999-12,51.34170,
2000-01,49.95965,
2000-02,49.46500,
2000-03,48.62860,
2000-04,46.47630,
2000-05,47.49640,
2000-06,48.07015,
2000-07,47.11390,
2000-08,48.27330,
2000-09,47.71175,
2000-10,45.43560,
2000-11,46.32395,
2000-12,50.88425,
2001-01,50.04450,
2001-02,49.50450,
2001-03,47.88450,
2001-04,48.13020,
2001-05,48.78930,
2001-06,48.43590,
2001-07,49.90650,
2001-08,51.72775,
2001-09,51.87010,
2001-10,51.66210,
2001-11,50.56765,
2001-12,50.33695,
2002-01,50.00825,
2002-02,50.08925,
2002-03,50.51200,
2002-04,52.15630,
2002-05,54.35075,
2002-06,57.75525,
2002-07,56.64355,
2002-08,56.93305,
2002-09,57.08940,
2002-10,57.11260,
2002-11,57.47735,
2002-12,60.71975,
2003-01,62.62460,
2003-02,62.42780,
2003-03,63.08205,
2003-04,64.44845,
2003-05,68.44940,
2003-06,66.69720,
2003-07,66.09800,
2003-08,63.90075,
2003-09,67.77000,
2003-10,68.05015,
2003-11,69.52785,
2003-12,73.35140,
2004-01,72.81120,
2004-02,73.50440,
2004-03,72.04680,
2004-04,70.21130,
2004-05,74.57840,
2004-06,73.70250,
2004-07,71.86415,
2004-08,71.36965,
2004-09,73.05880,
2004-10,75.88830,
2004-11,79.49535,
2004-12,83.38305,
2005-01,82.16605,
2005-02,84.23165,
2005-03,81.90020,
2005-04,81.87025,
2005-05,79.11210,
2005-06,78.00850,
2005-07,80.86320,
2005-08,81.22715,
2005-09,79.95905,
2005-10,79.67715,
2005-11,78.54875,
2005-12,79.94275,
2006-01,83.09135,
2006-02,83.85515,
2006-03,86.03010,
2006-04,88.30505,
2006-05,89.93160,
2006-06,87.66710,
2006-07,89.06210,
2006-08,89.29775,
2006-09,85.78175,
2006-10,86.95670,
2006-11,89.89785,
2006-12,91.14475,
2007-01,89.25935,
2007-02,90.77650,
2007-03,91.25575,
2007-04,94.42950,
2007-05,92.33220,
2007-06,92.18285,
2007-07,93.50255,
2007-08,93.20500,
2007-09,98.58850,
2007-10,99.40100,
2007-11,101.85375,
2007-12,99.84730,
2008-01,102.16605,
2008-02,103.77315,
2008-03,108.35100,
2008-04,105.87900,
2008-05,107.81630,
2008-06,108.35110,
2008-07,106.79510,
2008-08,100.84075,
2008-09,98.26975,
2008-10,91.13755,
2008-11,86.13120,
2008-12,97.25145,
2009-01,90.09945,
2009-02,87.70285,
2009-03,91.51350,
2009-04,91.83180,
2009-05,97.58320,
2009-06,97.34050,
2009-07,96.91090,
2009-08,98.55430,
2009-09,100.75600,
2009-10,101.68570,
2009-11,103.90825,
2009-12,98.95575,
2010-01,95.78040,
2010-02,94.16100,
2010-03,92.53795,
2010-04,91.36820,
2010-05,85.15335,
2010-06,84.71115,
2010-07,90.25540,
2010-08,87.91200,
2010-09,95.23625,
2010-10,97.33430,
2010-11,93.34790,
2010-12,93.16805,
2011-01,98.87225,
2011-02,100.16310,
2011-03,102.73240,
2011-04,109.31400,
2011-05,105.50380,
2011-06,108.15115,
2011-07,106.54620,
2011-08,107.91725,
2011-09,102.48960,
2011-10,106.22005,
2011-11,104.89390,
2011-12,105.69190,
2012-01,112.42185,
2012-02,110.62315,
2012-03,109.05420,
2012-04,107.74985,
2012-05,102.07025,
2012-06,102.10940,
2012-07,101.24650,
2012-08,102.21545,
2012-09,105.18710,
2012-10,105.36795,
2012-11,105.85960,
2012-12,105.92480,
2013-01,107.49920,
2013-02,103.04355,
2013-03,100.30275,
2013-04,101.32545,
2013-05,100.61755,
2013-06,101.04590,
2013-07,102.78750,
2013-08,104.93230,
2013-09,105.04180,
2013-10,106.98790,
2013-11,105.63170,
2013-12,107.08010,
2014-01,106.15820,
2014-02,107.28365,
2014-03,106.77365,
2014-04,107.59175,
2014-05,105.71635,
2014-06,105.77085,
2014-07,103.79545,
2014-08,101.65025,
2014-09,98.14675,
2014-10,97.57765,
2014-11,98.42475,
2014-12,95.57115,
2015-01,87.81455,
"","General: Units of account for larger amounts: 1 lakh (in digits: 1,00,000) = 100,000 taka; 1 crore (in digits: 1,00,00,000) = 100 lakh = 10,000,000 taka.",
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since August 2010: The Hongkong and Shanghai Banking Corporation Limited, Dhaka. June 2003 - July 2010: Standard Chartered Bank, Dhaka. January 1999 - May 2003: Bangladesh Bank, Dhaka.",
"","Methodology: * From January 2002 to May 2003, we did not record any exchange rates for the euro in Bangladesh. The reported comparable rates were calculated on the basis of the buying and selling rates for the US dollar in Bangladesh in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
