"",BBK01.OEHB02U,BBK01.OEHB02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:31,
2002-01,0.910,
2002-04,0.893,
2002-07,0.893,
2002-10,0.866,
2003-01,0.860,
2003-04,0.902,
2003-07,0.893,
2003-10,0.862,
2004-01,0.851,
2004-04,0.841,
2004-07,0.835,
2004-10,0.807,
2005-01,0.818,
2005-04,0.813,
2005-07,0.792,
2005-10,0.756,
2006-01,0.772,
2006-04,0.773,
2006-07,0.749,
2006-10,0.737,
2007-01,0.729,
2007-04,0.743,
2007-07,0.724,
2007-10,0.714,
2008-01,0.747,
2008-04,0.762,
2008-07,0.729,
2008-10,0.742,
2009-01,0.759,
2009-04,0.796,
2009-07,0.691,
2009-10,0.674,
2010-01,0.696,
2010-04,0.722,
2010-07,0.677,
2010-10,0.666,
2011-01,0.700,
2011-04,0.702,
2011-07,0.643,
2011-10,0.621,
2012-01,0.635,
2012-04,0.661,
2012-07,0.634,
2012-10,0.622,
2013-01,0.688,
2013-04,0.648,
2013-07,0.681,
2013-10,0.581,
2014-01,0.636,
2014-04,0.600,
2014-07,0.601,
