"",BBK01.OELI05I,BBK01.OELI05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:51,
2002-01,0.404,
2002-04,0.441,
2002-07,0.434,
2002-10,0.428,
2003-01,0.417,
2003-04,0.940,
2003-07,0.306,
2003-10,0.188,
2004-01,0.190,
2004-04,0.187,
2004-07,0.177,
2004-10,0.203,
2005-01,0.209,
2005-04,0.196,
2005-07,0.193,
2005-10,0.197,
2006-01,0.201,
2006-04,0.199,
2006-07,0.151,
2006-10,0.128,
2007-01,0.124,
2007-04,0.120,
2007-07,0.113,
2007-10,0.108,
2008-01,0.102,
2008-04,0.096,
2008-07,0.095,
2008-10,0.097,
2009-01,0.511,
2009-04,0.092,
2009-07,0.090,
2009-10,0.065,
2010-01,0.059,
2010-04,0.057,
2010-07,0.055,
2010-10,0.059,
2011-01,0.061,
2011-04,0.060,
2011-07,0.067,
2011-10,0.072,
2012-01,0.067,
2012-04,0.075,
2012-07,0.075,
2012-10,0.079,
2013-01,0.079,
2013-04,0.082,
2013-07,0.089,
2013-10,0.099,
2014-01,0.168,
2014-04,0.171,
2014-07,0.165,
