"",BBK01.OELL05Q,BBK01.OELL05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:09,
2002-01,0.265,
2002-04,0.267,
2002-07,0.225,
2002-10,0.193,
2003-01,0.185,
2003-04,0.108,
2003-07,0.174,
2003-10,0.124,
2004-01,0.125,
2004-04,0.118,
2004-07,0.118,
2004-10,0.125,
2005-01,0.136,
2005-04,0.125,
2005-07,0.184,
2005-10,0.167,
2006-01,0.142,
2006-04,0.142,
2006-07,0.153,
2006-10,0.152,
2007-01,0.147,
2007-04,0.145,
2007-07,0.143,
2007-10,0.162,
2008-01,0.158,
2008-04,0.155,
2008-07,0.137,
2008-10,0.136,
2009-01,0.132,
2009-04,0.130,
2009-07,0.129,
2009-10,0.133,
2010-01,0.147,
2010-04,0.147,
2010-07,0.144,
2010-10,0.147,
2011-01,0.146,
2011-04,0.148,
2011-07,0.149,
2011-10,0.136,
2012-01,0.129,
2012-04,0.126,
2012-07,0.126,
2012-10,0.120,
2013-01,0.129,
2013-04,0.130,
2013-07,0.131,
2013-10,0.125,
2014-01,0.127,
2014-04,0.126,
2014-07,0.122,
