"",BBK01.OEAA28G,BBK01.OEAA28G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:31,
2002-01,0.059,
2002-04,0.060,
2002-07,0.069,
2002-10,0.061,
2003-01,0.057,
2003-04,0.041,
2003-07,0.040,
2003-10,0.037,
2004-01,0.059,
2004-04,0.060,
2004-07,0.055,
2004-10,0.026,
2005-01,0.031,
2005-04,0.028,
2005-07,0.028,
2005-10,0.036,
2006-01,0.032,
2006-04,0.048,
2006-07,0.040,
2006-10,0.025,
2007-01,0.032,
2007-04,0.028,
2007-07,0.020,
2007-10,0.027,
2008-01,0.033,
2008-04,0.026,
2008-07,0.018,
2008-10,0.043,
2009-01,0.021,
2009-04,0.015,
2009-07,0.014,
2009-10,0.017,
2010-01,0.014,
2010-04,0.014,
2010-07,0.014,
2010-10,0.014,
2011-01,0.013,
2011-04,0.009,
2011-07,0.011,
2011-10,0.017,
2012-01,0.012,
2012-04,0.009,
2012-07,0.011,
2012-10,0.016,
2013-01,0.006,
2013-04,0.008,
2013-07,0.007,
2013-10,0.014,
2014-01,0.009,
2014-04,0.006,
2014-07,0.005,
