"",BBK01.OEYL05G,BBK01.OEYL05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:19,
2002-01,45.057,
2002-04,44.996,
2002-07,44.835,
2002-10,46.274,
2003-01,46.532,
2003-04,46.784,
2003-07,47.192,
2003-10,48.842,
2004-01,49.556,
2004-04,49.848,
2004-07,50.097,
2004-10,51.917,
2005-01,52.554,
2005-04,52.859,
2005-07,53.372,
2005-10,55.173,
2006-01,55.720,
2006-04,55.741,
2006-07,55.733,
2006-10,56.912,
2007-01,56.826,
2007-04,56.354,
2007-07,55.766,
2007-10,56.260,
2008-01,55.708,
2008-04,54.887,
2008-07,53.726,
2008-10,53.588,
2009-01,53.303,
2009-04,53.256,
2009-07,53.533,
2009-10,55.183,
2010-01,57.866,
2010-04,58.525,
2010-07,59.216,
2010-10,61.134,
2011-01,65.276,
2011-04,65.627,
2011-07,65.870,
2011-10,67.451,
2012-01,67.965,
2012-04,68.371,
2012-07,68.793,
2012-10,69.753,
2013-01,71.210,
2013-04,72.090,
2013-07,72.114,
2013-10,73.675,
2014-01,74.839,
2014-04,75.372,
2014-07,76.090,
