"",BBK01.OELL02I,BBK01.OELL02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:45,
2002-01,1.574,
2002-04,1.670,
2002-07,1.625,
2002-10,1.709,
2003-01,1.756,
2003-04,1.870,
2003-07,1.842,
2003-10,2.018,
2004-01,2.107,
2004-04,2.211,
2004-07,2.280,
2004-10,2.451,
2005-01,2.498,
2005-04,2.599,
2005-07,2.633,
2005-10,2.755,
2006-01,2.804,
2006-04,2.923,
2006-07,2.869,
2006-10,2.601,
2007-01,2.573,
2007-04,2.582,
2007-07,2.381,
2007-10,2.342,
2008-01,2.407,
2008-04,2.367,
2008-07,2.227,
2008-10,2.305,
2009-01,2.530,
2009-04,2.666,
2009-07,2.843,
2009-10,3.035,
2010-01,3.165,
2010-04,3.285,
2010-07,3.443,
2010-10,3.456,
2011-01,3.510,
2011-04,3.515,
2011-07,3.479,
2011-10,3.523,
2012-01,3.575,
2012-04,3.615,
2012-07,3.697,
2012-10,3.795,
2013-01,3.871,
2013-04,3.958,
2013-07,4.047,
2013-10,4.162,
2014-01,4.096,
2014-04,4.181,
2014-07,4.279,
