"",BBK01.OEAD13N,BBK01.OEAD13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:28,
2002-01,0.770,
2002-04,0.718,
2002-07,0.665,
2002-10,0.618,
2003-01,0.651,
2003-04,0.634,
2003-07,0.584,
2003-10,0.549,
2004-01,0.570,
2004-04,0.574,
2004-07,0.541,
2004-10,0.461,
2005-01,0.538,
2005-04,0.485,
2005-07,0.415,
2005-10,0.417,
2006-01,0.467,
2006-04,0.496,
2006-07,0.477,
2006-10,0.446,
2007-01,0.482,
2007-04,0.494,
2007-07,0.513,
2007-10,0.601,
2008-01,0.591,
2008-04,0.601,
2008-07,0.570,
2008-10,0.665,
2009-01,0.659,
2009-04,0.619,
2009-07,0.588,
2009-10,0.538,
2010-01,0.488,
2010-04,0.508,
2010-07,0.479,
2010-10,0.417,
2011-01,0.457,
2011-04,0.446,
2011-07,0.454,
2011-10,0.371,
2012-01,0.399,
2012-04,0.436,
2012-07,0.402,
2012-10,0.384,
2013-01,0.481,
2013-04,0.486,
2013-07,0.422,
2013-10,0.378,
2014-01,0.433,
2014-04,0.457,
2014-07,0.442,
