"",BBK01.OELB02I,BBK01.OELB02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:28,
2002-01,2.026,
2002-04,2.067,
2002-07,2.465,
2002-10,1.855,
2003-01,2.020,
2003-04,2.081,
2003-07,1.994,
2003-10,1.758,
2004-01,1.783,
2004-04,2.013,
2004-07,1.765,
2004-10,1.611,
2005-01,1.623,
2005-04,1.565,
2005-07,1.639,
2005-10,1.662,
2006-01,1.492,
2006-04,1.291,
2006-07,1.166,
2006-10,1.004,
2007-01,1.039,
2007-04,0.986,
2007-07,0.954,
2007-10,0.943,
2008-01,0.934,
2008-04,0.896,
2008-07,0.908,
2008-10,0.877,
2009-01,0.893,
2009-04,0.867,
2009-07,0.862,
2009-10,0.777,
2010-01,0.791,
2010-04,0.752,
2010-07,0.775,
2010-10,0.737,
2011-01,0.758,
2011-04,0.757,
2011-07,0.748,
2011-10,0.781,
2012-01,0.773,
2012-04,0.770,
2012-07,0.795,
2012-10,0.751,
2013-01,0.726,
2013-04,0.722,
2013-07,0.726,
2013-10,0.701,
2014-01,0.780,
2014-04,0.715,
2014-07,0.687,
