"",BBK01.OEAA20J,BBK01.OEAA20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:37,
2002-01,0.086,
2002-04,0.109,
2002-07,0.115,
2002-10,0.120,
2003-01,0.093,
2003-04,0.108,
2003-07,0.087,
2003-10,0.078,
2004-01,0.076,
2004-04,0.088,
2004-07,0.085,
2004-10,0.062,
2005-01,0.059,
2005-04,0.046,
2005-07,0.037,
2005-10,0.042,
2006-01,0.049,
2006-04,0.050,
2006-07,0.051,
2006-10,0.037,
2007-01,0.036,
2007-04,0.031,
2007-07,0.030,
2007-10,0.038,
2008-01,0.038,
2008-04,0.039,
2008-07,0.033,
2008-10,0.024,
2009-01,0.022,
2009-04,0.019,
2009-07,0.021,
2009-10,0.020,
2010-01,0.020,
2010-04,0.025,
2010-07,0.024,
2010-10,0.022,
2011-01,0.026,
2011-04,0.024,
2011-07,0.026,
2011-10,0.023,
2012-01,0.021,
2012-04,0.021,
2012-07,0.022,
2012-10,0.021,
2013-01,0.024,
2013-04,0.020,
2013-07,0.017,
2013-10,0.019,
2014-01,0.022,
2014-04,0.017,
2014-07,0.011,
