"",BBFB1.Q.N.DE.W03100.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:25,
1991-01,218.802,
1991-04,197.012,
1991-07,177.832,
1991-10,154.209,
1992-01,201.795,
1992-04,228.652,
1992-07,384.725,
1992-10,243.522,
1993-01,245.505,
1993-04,286.974,
1993-07,276.267,
1993-10,284.416,
1994-01,172.209,
1994-04,188.681,
1994-07,162.012,
1994-10,157.448,
1995-01,187.475,
1995-04,221.272,
1995-07,156.003,
1995-10,179.059,
1996-01,97.371,
1996-04,105.878,
1996-07,63.343,
1996-10,128.582,
1997-01,150.133,
1997-04,156.704,
1997-07,139.930,
1997-10,119.404,
1998-01,229.952,
1998-04,500.534,
1998-07,254.588,
1998-10,298.941,
1999-01,301.971,
1999-04,323.880,
1999-07,273.538,
1999-10,289.327,
2000-01,530.064,
2000-04,702.056,
2000-07,641.160,
2000-10,585.243,
2001-01,1530.784,
2001-04,1691.252,
2001-07,2039.743,
2001-10,1808.228,
2002-01,764.314,
2002-04,713.534,
2002-07,830.031,
2002-10,656.428,
2003-01,483.350,
2003-04,694.299,
2003-07,793.343,
2003-10,636.677,
2004-01,283.466,
2004-04,257.647,
2004-07,224.113,
2004-10,304.842,
2005-01,1586.184,
2005-04,1715.136,
2005-07,1704.139,
2005-10,1651.401,
2006-01,508.072,
2006-04,600.465,
2006-07,567.690,
2006-10,547.583,
2007-01,489.058,
2007-04,601.471,
2007-07,586.727,
2007-10,545.191,
2008-01,635.123,
2008-04,733.215,
2008-07,707.294,
2008-10,612.450,
2009-01,545.623,
2009-04,659.884,
2009-07,628.570,
2009-10,574.995,
2010-01,681.274,
2010-04,830.970,
2010-07,956.900,
2010-10,881.012,
2011-01,789.890,
2011-04,1009.492,
2011-07,1041.468,
2011-10,1035.958,
2012-01,1049.431,
2012-04,1163.410,
2012-07,1165.569,
2012-10,1180.353,
2013-01,768.163,
2013-04,884.893,
2013-07,850.343,
2013-10,869.829,
2014-01,793.889,Provisional value
2014-04,937.297,Provisional value
2014-07,1025.245,Provisional value
