"",BBK01.OEBO03P,BBK01.OEBO03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:44,
2002-01,0.131,
2002-04,0.157,
2002-07,0.100,
2002-10,0.103,
2003-01,0.129,
2003-04,0.106,
2003-07,0.162,
2003-10,0.107,
2004-01,0.142,
2004-04,0.110,
2004-07,0.114,
2004-10,0.118,
2005-01,0.185,
2005-04,0.147,
2005-07,0.151,
2005-10,0.169,
2006-01,0.206,
2006-04,0.190,
2006-07,0.202,
2006-10,0.201,
2007-01,0.231,
2007-04,0.186,
2007-07,0.190,
2007-10,0.220,
2008-01,0.234,
2008-04,0.212,
2008-07,0.234,
2008-10,0.265,
2009-01,0.228,
2009-04,0.189,
2009-07,0.196,
2009-10,0.249,
2010-01,0.230,
2010-04,0.170,
2010-07,0.149,
2010-10,0.178,
2011-01,0.273,
2011-04,0.199,
2011-07,0.193,
2011-10,0.157,
2012-01,0.206,
2012-04,0.150,
2012-07,0.162,
2012-10,0.149,
2013-01,0.206,
2013-04,0.131,
2013-07,0.120,
2013-10,0.115,
2014-01,0.109,
2014-04,0.090,
2014-07,0.082,
