"",BBNZ1.Q.DE.S.G.0327.A,BBNZ1.Q.DE.S.G.0327.A_FLAGS
"",Germany / National accounts / Households' income / Saving ratio / Seasonally adjusted only,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:08,
1991-01,12.2,
1991-04,13.4,
1991-07,12.6,
1991-10,12.4,
1992-01,12.4,
1992-04,12.6,
1992-07,12.8,
1992-10,12.1,
1993-01,11.9,
1993-04,12.4,
1993-07,11.6,
1993-10,11.8,
1994-01,11.1,
1994-04,11.3,
1994-07,11.4,
1994-10,11.4,
1995-01,11.1,
1995-04,11.1,
1995-07,10.9,
1995-10,10.8,
1996-01,10.7,
1996-04,10.8,
1996-07,10.4,
1996-10,10.0,
1997-01,10.2,
1997-04,10.0,
1997-07,10.1,
1997-10,10.0,
1998-01,10.3,
1998-04,10.1,
1998-07,9.7,
1998-10,9.6,
1999-01,9.3,
1999-04,9.4,
1999-07,9.4,
1999-10,9.6,
2000-01,9.7,
2000-04,8.9,
2000-07,8.4,
2000-10,8.7,
2001-01,9.6,
2001-04,9.4,
2001-07,9.6,
2001-10,9.6,
2002-01,9.4,
2002-04,9.5,
2002-07,9.7,
2002-10,9.7,
2003-01,10.1,
2003-04,10.0,
2003-07,10.1,
2003-10,10.9,
2004-01,10.0,
2004-04,10.1,
2004-07,10.2,
2004-10,9.9,
2005-01,9.8,
2005-04,9.7,
2005-07,10.0,
2005-10,10.7,
2006-01,9.8,
2006-04,10.0,
2006-07,10.1,
2006-10,10.1,
2007-01,10.3,
2007-04,10.1,
2007-07,10.1,
2007-10,10.3,
2008-01,10.3,
2008-04,11.1,
2008-07,10.8,
2008-10,9.6,
2009-01,10.0,
2009-04,10.0,
2009-07,9.9,
2009-10,9.8,
2010-01,10.1,
2010-04,10.0,
2010-07,9.9,
2010-10,9.8,
2011-01,9.5,
2011-04,9.7,
2011-07,9.5,
2011-10,9.6,
2012-01,9.6,
2012-04,9.6,
2012-07,9.4,
2012-10,9.0,
2013-01,9.2,
2013-04,9.1,
2013-07,9.2,
2013-10,8.9,
2014-01,9.2,
2014-04,9.3,
2014-07,9.2,
2014-10,9.8,
