"",BBK01.OEAH28K,BBK01.OEAH28K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:39,
2002-01,0.200,
2002-04,0.203,
2002-07,0.200,
2002-10,0.199,
2003-01,0.196,
2003-04,0.155,
2003-07,0.162,
2003-10,0.156,
2004-01,0.154,
2004-04,0.201,
2004-07,0.196,
2004-10,0.174,
2005-01,0.170,
2005-04,0.168,
2005-07,0.165,
2005-10,0.165,
2006-01,0.165,
2006-04,0.304,
2006-07,0.310,
2006-10,0.305,
2007-01,0.218,
2007-04,0.208,
2007-07,0.192,
2007-10,0.172,
2008-01,0.165,
2008-04,0.160,
2008-07,0.153,
2008-10,0.147,
2009-01,0.161,
2009-04,0.153,
2009-07,0.209,
2009-10,0.203,
2010-01,0.199,
2010-04,0.191,
2010-07,0.202,
2010-10,0.192,
2011-01,0.185,
2011-04,0.156,
2011-07,0.151,
2011-10,0.162,
2012-01,0.156,
2012-04,0.115,
2012-07,0.102,
2012-10,0.100,
2013-01,0.100,
2013-04,0.144,
2013-07,0.129,
2013-10,0.125,
2014-01,0.116,
2014-04,0.116,
2014-07,0.120,
