"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.PT.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.PT.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Portugal / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:39,
2009-09,3274,
2009-10,3313,
2009-11,3284,
2009-12,3058,
2010-01,2780,
2010-02,3190,
2010-03,3475,
2010-04,2805,
2010-05,2626,
2010-06,2499,
2010-07,2820,
2010-08,2875,
2010-09,2674,
2010-10,2696,
2010-11,2366,
2010-12,2370,
2011-01,2304,
2011-02,2291,
2011-03,2109,
2011-04,1653,
2011-05,1613,
2011-06,1389,
2011-07,1217,
2011-08,1173,
2011-09,1165,
2011-10,1240,
2011-11,1126,
2011-12,1190,
2012-01,953,
2012-02,1152,
2012-03,1023,
2012-04,1008,
2012-05,809,
2012-06,790,
2012-07,764,
2012-08,833,
2012-09,780,
2012-10,788,
2012-11,850,
2012-12,1245,
2013-01,1433,
2013-02,1454,
2013-03,1451,
2013-04,1524,
2013-05,1523,
2013-06,1434,
2013-07,1363,
2013-08,1356,
2013-09,1222,
2013-10,1239,
2013-11,1419,
2013-12,1285,
2014-01,1348,
2014-02,1412,
2014-03,1426,
2014-04,1450,
2014-05,1511,
2014-06,1499,
2014-07,1520,
2014-08,1558,
2014-09,1642,
2014-10,1674,
2014-11,1742,
