"",BBFB1.M.N.DE.W1.S1.S1.T.D.SA___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SA___AD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To imports / Deductions / Imports for processing / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:56,
1991-01,1680.148,
1991-02,1795.125,
1991-03,1777.297,
1991-04,1699.136,
1991-05,1786.097,
1991-06,1868.852,
1991-07,2122.031,
1991-08,1545.735,
1991-09,1717.018,
1991-10,1857.413,
1991-11,1793.119,
1991-12,1386.185,
1992-01,1831.883,
1992-02,1740.278,
1992-03,1829.320,
1992-04,1764.616,
1992-05,1530.529,
1992-06,1543.729,
1992-07,1915.330,
1992-08,1199.187,
1992-09,1795.253,
1992-10,1752.327,
1992-11,1837.390,
1992-12,1839.269,
1993-01,446.083,
1993-02,446.083,
1993-03,446.083,
1993-04,529.594,
1993-05,529.594,
1993-06,529.594,
1993-07,494.524,
1993-08,494.524,
1993-09,494.524,
1993-10,644.800,
1993-11,644.800,
1993-12,644.800,
1994-01,612.533,
1994-02,612.533,
1994-03,612.533,
1994-04,598.229,
1994-05,598.229,
1994-06,598.229,
1994-07,598.188,
1994-08,598.188,
1994-09,598.188,
1994-10,655.719,
1994-11,655.719,
1994-12,655.719,
1995-01,567.944,
1995-02,567.354,
1995-03,566.763,
1995-04,553.317,
1995-05,553.317,
1995-06,553.317,
1995-07,506.361,
1995-08,505.977,
1995-09,506.169,
1995-10,645.124,
1995-11,645.124,
1995-12,645.124,
1996-01,627.966,
1996-02,595.392,
1996-03,721.671,
1996-04,525.876,
1996-05,517.921,
1996-06,670.662,
1996-07,624.824,
1996-08,545.462,
1996-09,674.820,
1996-10,771.477,
1996-11,656.187,
1996-12,624.372,
1997-01,655.808,
1997-02,520.007,
1997-03,642.383,
1997-04,845.572,
1997-05,825.371,
1997-06,875.205,
1997-07,852.521,
1997-08,660.130,
1997-09,945.436,
1997-10,850.785,
1997-11,844.798,
1997-12,734.436,
1998-01,895.622,
1998-02,767.128,
1998-03,1118.904,
1998-04,824.897,
1998-05,825.467,
1998-06,974.716,
1998-07,1023.476,
1998-08,832.661,
1998-09,890.462,
1998-10,913.622,
1998-11,870.472,
1998-12,933.188,
1999-01,806.126,
1999-02,694.754,
1999-03,1054.597,
1999-04,882.732,
1999-05,947.751,
1999-06,1008.815,
1999-07,956.620,
1999-08,934.888,
1999-09,1336.611,
1999-10,1099.700,
1999-11,1537.200,
1999-12,1128.669,
2000-01,1184.309,
2000-02,1361.100,
2000-03,1695.525,
2000-04,1199.860,
2000-05,1048.483,
2000-06,1316.384,
2000-07,1082.125,
2000-08,1328.911,
2000-09,1063.725,
2000-10,1459.506,
2000-11,1278.720,
2000-12,1121.907,
2001-01,1302.005,
2001-02,1150.626,
2001-03,1296.801,
2001-04,1146.149,
2001-05,1524.361,
2001-06,1688.368,
2001-07,1555.921,
2001-08,1639.468,
2001-09,1266.856,
2001-10,1623.682,
2001-11,2027.401,
2001-12,1064.767,
2002-01,1621.170,
2002-02,2750.931,
2002-03,2021.656,
2002-04,2092.271,
2002-05,1540.301,
2002-06,1953.665,
2002-07,1347.123,
2002-08,2500.209,
2002-09,2076.411,
2002-10,2044.779,
2002-11,1801.486,
2002-12,1895.207,
2003-01,1998.195,
2003-02,1933.958,
2003-03,1783.363,
2003-04,1910.198,
2003-05,1756.452,
2003-06,1709.372,
2003-07,1701.915,
2003-08,1522.830,
2003-09,2043.332,
2003-10,1920.749,
2003-11,1955.712,
2003-12,1322.424,
2004-01,2036.115,
2004-02,2105.039,
2004-03,2085.875,
2004-04,1988.677,
2004-05,2014.581,
2004-06,2241.449,
2004-07,1703.228,
2004-08,1939.619,
2004-09,2036.781,
2004-10,2127.578,
2004-11,2212.583,
2004-12,1885.370,
2005-01,2040.295,
2005-02,2329.369,
2005-03,2457.962,
2005-04,2822.022,
2005-05,2170.908,
2005-06,2687.478,
2005-07,2383.589,
2005-08,2052.399,
2005-09,2845.042,
2005-10,2496.640,
2005-11,3072.196,
2005-12,2244.119,
2006-01,2930.798,
2006-02,3259.762,
2006-03,3725.429,
2006-04,3145.523,
2006-05,3337.407,
2006-06,3975.996,
2006-07,2919.257,
2006-08,3464.957,
2006-09,3411.100,
2006-10,3907.998,
2006-11,4021.480,
2006-12,3236.758,
2007-01,2630.314,
2007-02,2865.434,
2007-03,3209.554,
2007-04,3125.264,
2007-05,2250.152,
2007-06,3038.047,
2007-07,2720.819,
2007-08,2459.459,
2007-09,2476.526,
2007-10,2984.056,
2007-11,2935.224,
2007-12,2383.912,
2008-01,2747.644,
2008-02,3525.042,
2008-03,2266.669,
2008-04,2912.628,
2008-05,2307.339,
2008-06,2850.271,
2008-07,3115.294,
2008-08,2473.895,
2008-09,3070.095,
2008-10,3184.822,
2008-11,2972.340,
2008-12,2993.940,
2009-01,3014.643,
2009-02,3510.146,
2009-03,3351.207,
2009-04,3112.449,
2009-05,2788.693,
2009-06,2822.682,
2009-07,2296.117,
2009-08,2908.141,
2009-09,2655.585,
2009-10,3532.104,
2009-11,2108.963,
2009-12,2149.081,
2010-01,2952.826,
2010-02,3295.346,
2010-03,2858.793,
2010-04,2876.240,
2010-05,2484.058,
2010-06,3349.938,
2010-07,4129.997,
2010-08,2609.342,
2010-09,2370.970,
2010-10,2822.506,
2010-11,3691.890,
2010-12,3281.598,
2011-01,2125.543,
2011-02,2839.015,
2011-03,2854.128,
2011-04,2266.688,
2011-05,3223.091,
2011-06,2339.151,
2011-07,3701.447,
2011-08,2791.165,
2011-09,3580.425,
2011-10,3794.601,
2011-11,3122.916,
2011-12,2697.610,
2012-01,1878.561,
2012-02,1879.737,
2012-03,1899.643,
2012-04,2540.661,
2012-05,2696.096,
2012-06,2275.786,
2012-07,2524.657,
2012-08,2717.862,
2012-09,2069.530,
2012-10,2238.532,
2012-11,2956.586,
2012-12,1966.861,
2013-01,2275.300,
2013-02,2165.361,
2013-03,3037.884,
2013-04,2468.706,
2013-05,2519.293,
2013-06,2868.528,
2013-07,2222.218,
2013-08,2030.878,
2013-09,1525.712,
2013-10,3115.347,
2013-11,2333.130,
2013-12,1896.618,
2014-01,2455.774,
2014-02,2490.827,
2014-03,4545.724,
2014-04,2878.131,
2014-05,1680.237,
2014-06,3469.709,
2014-07,2148.353,
2014-08,2179.594,
2014-09,2546.433,
2014-10,2356.754,
2014-11,2671.193,
2014-12,1950.000,Provisional value
