"",BBSF2.M.1.S.00000.DAC01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.DAC01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Funds-of-funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:36,
2009-09,172,
2009-10,175,
2009-11,177,
2009-12,205,
2010-01,217,
2010-02,214,
2010-03,227,
2010-04,210,
2010-05,203,
2010-06,208,
2010-07,234,
2010-08,213,
2010-09,200,
2010-10,201,
2010-11,209,
2010-12,193,
2011-01,184,
2011-02,183,
2011-03,173,
2011-04,169,
2011-05,172,
2011-06,170,
2011-07,158,
2011-08,153,
2011-09,154,
2011-10,198,
2011-11,232,
2011-12,243,
2012-01,255,
2012-02,249,
2012-03,292,
2012-04,305,
2012-05,278,
2012-06,270,
2012-07,286,
2012-08,297,
2012-09,308,
2012-10,297,
2012-11,322,
2012-12,325,
2013-01,344,
2013-02,352,
2013-03,349,
2013-04,352,
2013-05,380,
2013-06,373,
2013-07,380,
2013-08,382,
2013-09,390,
2013-10,477,
2013-11,518,
2013-12,515,
2014-01,542,
2014-02,548,
2014-03,596,
2014-04,606,
2014-05,612,
2014-06,623,
2014-07,627,
2014-08,515,
2014-09,365,
2014-10,400,
2014-11,329,
