"",BBDE1.M.DE.Y.AEN5.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.AEN5.A2P350000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:02,
2010-01,97.1,
2010-02,93.7,
2010-03,98.5,
2010-04,97.9,
2010-05,101.5,
2010-06,103.3,
2010-07,99.4,
2010-08,100.2,
2010-09,99.2,
2010-10,101.9,
2010-11,101.1,
2010-12,101.4,
2011-01,104.6,
2011-02,105.5,
2011-03,104.0,
2011-04,106.5,
2011-05,103.4,
2011-06,101.3,
2011-07,108.4,
2011-08,101.4,
2011-09,101.5,
2011-10,101.7,
2011-11,102.9,
2011-12,103.4,
2012-01,103.9,
2012-02,100.6,
2012-03,109.1,
2012-04,101.8,
2012-05,109.3,
2012-06,109.6,
2012-07,109.1,
2012-08,110.9,
2012-09,110.2,
2012-10,108.4,
2012-11,108.4,
2012-12,111.9,
2013-01,103.7,
2013-02,104.8,
2013-03,104.5,
2013-04,113.6,
2013-05,110.1,
2013-06,107.4,
2013-07,110.5,
2013-08,108.6,
2013-09,117.8,
2013-10,114.9,
2013-11,119.6,
2013-12,114.1,
2014-01,118.2,
2014-02,118.6,
2014-03,107.7,
2014-04,119.2,
2014-05,118.5,
2014-06,116.4,
2014-07,111.4,
2014-08,120.3,
2014-09,119.1,
2014-10,118.4,
2014-11,122.6,
2014-12,116.4,Provisional value
