"",BBFB1.Q.N.DE.D09.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:09,
1991-01,51.212,
1991-04,67.205,
1991-07,74.349,
1991-10,104.814,
1992-01,60.196,
1992-04,66.458,
1992-07,73.307,
1992-10,74.290,
1993-01,49.146,
1993-04,65.068,
1993-07,70.504,
1993-10,52.953,
1994-01,69.449,
1994-04,59.725,
1994-07,80.671,
1994-10,51.986,
1995-01,16.550,
1995-04,20.616,
1995-07,17.780,
1995-10,55.636,
1996-01,4.687,
1996-04,5.430,
1996-07,12.988,
1996-10,4.481,
1997-01,1.130,
1997-04,0.041,
1997-07,0.206,
1997-10,0.199,
1998-01,1.178,
1998-04,0.250,
1998-07,1.437,
1998-10,-0.348,
1999-01,0.340,
1999-04,-0.675,
1999-07,0.447,
1999-10,1.381,
2000-01,2.205,
2000-04,-1.186,
2000-07,0.448,
2000-10,-2.889,
2001-01,-3.339,
2001-04,-4.787,
2001-07,-7.989,
2001-10,1.970,
2002-01,0.311,
2002-04,-0.416,
2002-07,0.023,
2002-10,1.266,
2003-01,-0.762,
2003-04,-1.003,
2003-07,0.321,
2003-10,0.180,
2004-01,-0.355,
2004-04,0.141,
2004-07,-0.200,
2004-10,0.113,
2005-01,0.216,
2005-04,0.071,
2005-07,-0.822,
2005-10,-0.648,
2006-01,-0.031,
2006-04,-0.366,
2006-07,-1.609,
2006-10,-0.134,
2007-01,0.066,
2007-04,0.335,
2007-07,0.178,
2007-10,1.349,
2008-01,0.637,
2008-04,0.217,
2008-07,1.341,
2008-10,0.895,
2009-01,2.533,
2009-04,1.735,
2009-07,0.412,
2009-10,0.198,
2010-01,-0.118,
2010-04,-0.123,
2010-07,0.099,
2010-10,0.376,
2011-01,0.242,
2011-04,0.333,
2011-07,0.155,
2011-10,0.042,
2012-01,0.087,
2012-04,-0.017,
2012-07,0.027,
2012-10,0.088,
2013-01,8.988,
2013-04,-0.025,
2013-07,-0.011,
2013-10,-0.102,
2014-01,87.628,
2014-04,83.883,
2014-07,83.889,
