"",BBK01.OEXM02I,BBK01.OEXM02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:35,
2002-01,0.160,
2002-04,0.149,
2002-07,0.149,
2002-10,0.172,
2003-01,0.227,
2003-04,0.289,
2003-07,0.105,
2003-10,0.106,
2004-01,0.259,
2004-04,0.186,
2004-07,0.207,
2004-10,0.404,
2005-01,0.478,
2005-04,0.625,
2005-07,0.642,
2005-10,0.662,
2006-01,0.705,
2006-04,0.613,
2006-07,0.477,
2006-10,0.588,
2007-01,0.501,
2007-04,0.476,
2007-07,0.417,
2007-10,0.427,
2008-01,0.375,
2008-04,0.272,
2008-07,0.228,
2008-10,0.638,
2009-01,1.396,
2009-04,1.868,
2009-07,2.441,
2009-10,2.087,
2010-01,1.977,
2010-04,1.977,
2010-07,1.837,
2010-10,1.734,
2011-01,1.790,
2011-04,1.738,
2011-07,1.452,
2011-10,1.156,
2012-01,1.244,
2012-04,1.208,
2012-07,1.115,
2012-10,0.993,
2013-01,1.274,
2013-04,1.453,
2013-07,1.349,
2013-10,1.194,
2014-01,0.879,
2014-04,1.028,
2014-07,1.177,
