"",BBFN1.M.DE.N.1.A.HK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:26,
1994-12,1.568,
1995-01,1.744,
1995-02,2.121,
1995-03,1.909,
1995-04,1.792,
1995-05,1.948,
1995-06,2.003,
1995-07,2.101,
1995-08,1.983,
1995-09,2.163,
1995-10,1.858,
1995-11,1.753,
1995-12,1.365,
1996-01,1.406,
1996-02,1.427,
1996-03,1.527,
1996-04,1.697,
1996-05,1.405,
1996-06,1.530,
1996-07,1.574,
1996-08,1.575,
1996-09,1.428,
1996-10,1.515,
1996-11,1.677,
1996-12,1.450,
1997-01,1.435,
1997-02,1.441,
1997-03,1.656,
1997-04,1.961,
1997-05,2.133,
1997-06,2.029,
1997-07,2.028,
1997-08,2.043,
1997-09,2.197,
1997-10,1.864,
1997-11,1.852,
1997-12,1.735,
1998-01,1.792,
1998-02,1.712,
1998-03,1.674,
1998-04,1.565,
1998-05,1.542,
1998-06,1.411,
1998-07,1.468,
1998-08,1.322,
1998-09,1.125,
1998-10,1.020,
1998-11,0.991,
1998-12,1.233,
1999-01,1.060,
1999-02,1.073,
1999-03,1.195,
1999-04,1.240,
1999-05,1.316,
1999-06,1.421,
1999-07,1.402,
1999-08,1.346,
1999-09,1.371,
1999-10,1.360,
1999-11,1.370,
1999-12,1.320,
2000-01,1.329,
2000-02,1.328,
2000-03,1.393,
2000-04,1.467,
2000-05,1.464,
2000-06,1.501,
2000-07,1.604,
2000-08,1.512,
2000-09,1.500,
2000-10,1.631,
2000-11,1.621,
2000-12,1.546,
2001-01,1.570,
2001-02,1.461,
2001-03,1.508,
2001-04,1.530,
2001-05,1.588,
2001-06,1.601,
2001-07,1.600,
2001-08,1.521,
2001-09,1.470,
2001-10,1.518,
2001-11,1.481,
2001-12,1.418,
2002-01,1.426,
2002-02,1.395,
2002-03,1.396,
2002-04,1.563,
2002-05,1.504,
2002-06,1.497,
2002-07,1.540,
2002-08,1.538,
2002-09,1.537,
2002-10,1.593,
2002-11,1.581,
2002-12,1.579,
2003-01,1.723,
2003-02,1.721,
2003-03,1.794,
2003-04,1.821,
2003-05,1.822,
2003-06,1.738,
2003-07,1.842,
2003-08,1.844,
2003-09,1.750,
2003-10,1.644,
2003-11,1.707,
2003-12,1.596,
2004-01,1.594,
2004-02,1.408,
2004-03,1.495,
2004-04,1.645,
2004-05,1.673,
2004-06,1.624,
2004-07,1.670,
2004-08,1.575,
2004-09,1.521,
2004-10,1.524,
2004-11,1.584,
2004-12,1.429,
2005-01,1.447,
2005-02,1.351,
2005-03,1.363,
2005-04,1.506,
2005-05,1.459,
2005-06,1.520,
2005-07,1.588,
2005-08,1.567,
2005-09,1.519,
2005-10,1.431,
2005-11,1.467,
2005-12,1.551,
2006-01,1.438,
2006-02,1.436,
2006-03,1.455,
2006-04,1.591,
2006-05,1.629,
2006-06,1.637,
2006-07,1.497,
2006-08,1.451,
2006-09,1.467,
2006-10,1.512,
2006-11,1.520,
2006-12,1.488,
2007-01,1.505,
2007-02,1.450,
2007-03,1.688,
2007-04,1.690,
2007-05,1.794,
2007-06,1.716,
2007-07,1.692,
2007-08,1.624,
2007-09,1.609,
2007-10,1.685,
2007-11,1.691,
2007-12,1.733,
2008-01,1.714,
2008-02,1.627,
2008-03,1.654,
2008-04,1.820,
2008-05,1.894,
2008-06,1.901,
2008-07,1.946,
2008-08,1.933,
2008-09,1.893,
2008-10,1.831,
2008-11,1.738,
2008-12,1.613,
2009-01,1.515,
2009-02,1.524,
2009-03,1.558,
2009-04,1.625,
2009-05,1.603,
2009-06,1.585,
2009-07,1.634,
2009-08,1.711,
2009-09,1.645,
2009-10,1.646,
2009-11,1.626,
2009-12,1.564,
2010-01,1.639,
2010-02,1.712,
2010-03,1.726,
2010-04,1.841,
2010-05,1.920,
2010-06,1.983,
2010-07,2.049,
2010-08,1.977,
2010-09,1.945,
2010-10,1.997,
2010-11,2.001,
2010-12,2.008,
2011-01,2.020,
2011-02,2.047,
2011-03,2.094,
2011-04,2.074,
2011-05,2.126,
2011-06,2.082,
2011-07,2.085,
2011-08,2.108,
2011-09,2.087,
2011-10,1.974,
2011-11,1.920,
2011-12,1.930,
2012-01,1.959,
2012-02,1.956,
2012-03,1.978,
2012-04,2.030,
2012-05,2.080,
2012-06,2.192,
2012-07,2.275,
2012-08,2.215,
2012-09,2.824,
2012-10,2.245,
2012-11,2.287,
2012-12,2.349,
2013-01,2.240,
2013-02,2.352,
2013-03,2.454,
2013-04,2.299,
2013-05,2.282,
2013-06,2.372,
2013-07,2.181,
2013-08,2.330,
2013-09,2.432,
2013-10,2.410,
2013-11,2.534,
2013-12,2.488,
2014-01,2.463,
2014-02,2.433,
2014-03,2.635,
2014-04,2.691,
2014-05,2.373,
2014-06,2.873,
2014-07,2.845,
2014-08,2.832,
2014-09,2.997,
2014-10,3.177,
2014-11,3.224,
2014-12,3.137,
