"",BBK01.CEFJ0C,BBK01.CEFJ0C_FLAGS
"",Unlisted shares                                       debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:35,
1999-01,18.6,
1999-04,17.2,
1999-07,15.1,
1999-10,12.9,
2000-01,12.8,
2000-04,11.2,
2000-07,10.4,
2000-10,11.0,
2001-01,11.0,
2001-04,11.2,
2001-07,10.9,
2001-10,12.0,
2002-01,12.1,
2002-04,11.7,
2002-07,10.5,
2002-10,11.1,
2003-01,10.9,
2003-04,11.3,
2003-07,11.3,
2003-10,11.6,
2004-01,11.3,
2004-04,11.2,
2004-07,10.8,
2004-10,10.9,
2005-01,11.4,
2005-04,11.9,
2005-07,12.4,
2005-10,12.8,
2006-01,13.4,
2006-04,13.9,
2006-07,14.5,
2006-10,14.7,
2007-01,14.9,
2007-04,15.0,
2007-07,15.2,
2007-10,15.3,
2008-01,16.4,
2008-04,17.5,
2008-07,18.7,
2008-10,19.8,
2009-01,21.2,
2009-04,22.6,
2009-07,24.1,
2009-10,25.5,
2010-01,26.7,
2010-04,27.9,
2010-07,29.0,
2010-10,30.2,
2011-01,30.0,
2011-04,29.7,
2011-07,29.5,
2011-10,29.3,
2012-01,30.7,
2012-04,32.1,
2012-07,33.6,
2012-10,35.0,
2013-01,35.0,
2013-04,35.0,
2013-07,35.0,
2013-10,35.0,
2014-01,35.0,
2014-04,35.0,
2014-07,35.0,
