"",BBK01.OELB21P,BBK01.OELB21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:51,
2002-01,0.116,
2002-04,0.121,
2002-07,0.104,
2002-10,0.074,
2003-01,0.074,
2003-04,0.080,
2003-07,0.075,
2003-10,0.086,
2004-01,0.085,
2004-04,0.093,
2004-07,0.096,
2004-10,0.095,
2005-01,0.083,
2005-04,0.085,
2005-07,0.083,
2005-10,0.086,
2006-01,0.097,
2006-04,0.105,
2006-07,0.079,
2006-10,0.092,
2007-01,0.092,
2007-04,0.076,
2007-07,0.080,
2007-10,0.079,
2008-01,0.079,
2008-04,0.085,
2008-07,0.091,
2008-10,0.083,
2009-01,0.091,
2009-04,0.105,
2009-07,0.111,
2009-10,0.129,
2010-01,0.132,
2010-04,0.142,
2010-07,0.151,
2010-10,0.132,
2011-01,0.119,
2011-04,0.129,
2011-07,0.140,
2011-10,0.133,
2012-01,0.132,
2012-04,0.127,
2012-07,0.121,
2012-10,0.126,
2013-01,0.125,
2013-04,0.121,
2013-07,0.118,
2013-10,0.112,
2014-01,0.111,
2014-04,0.109,
2014-07,0.114,
