"",BBK01.OEBI02L,BBK01.OEBI02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:20,
2002-01,62.001,
2002-04,74.494,
2002-07,79.097,
2002-10,75.672,
2003-01,88.492,
2003-04,97.274,
2003-07,96.308,
2003-10,83.921,
2004-01,125.863,
2004-04,133.597,
2004-07,138.625,
2004-10,107.449,
2005-01,146.959,
2005-04,148.170,
2005-07,150.211,
2005-10,143.167,
2006-01,167.334,
2006-04,174.569,
2006-07,161.962,
2006-10,157.102,
2007-01,159.738,
2007-04,179.056,
2007-07,167.840,
2007-10,146.306,
2008-01,169.751,
2008-04,155.475,
2008-07,154.756,
2008-10,140.946,
2009-01,162.894,
2009-04,169.005,
2009-07,150.919,
2009-10,147.512,
2010-01,151.323,
2010-04,161.632,
2010-07,156.658,
2010-10,151.500,
2011-01,165.598,
2011-04,171.306,
2011-07,177.410,
2011-10,166.358,
2012-01,179.168,
2012-04,172.389,
2012-07,186.209,
2012-10,190.926,
2013-01,203.324,
2013-04,215.495,
2013-07,214.411,
2013-10,214.753,
2014-01,217.496,
2014-04,223.672,
2014-07,231.801,
