"",BBK01.OEXJ02G,BBK01.OEXJ02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:29,
2002-01,3.276,
2002-04,3.769,
2002-07,3.874,
2002-10,4.385,
2003-01,4.782,
2003-04,3.830,
2003-07,4.811,
2003-10,5.977,
2004-01,5.994,
2004-04,5.221,
2004-07,5.269,
2004-10,6.792,
2005-01,3.005,
2005-04,3.183,
2005-07,1.358,
2005-10,1.353,
2006-01,1.311,
2006-04,1.205,
2006-07,1.503,
2006-10,1.376,
2007-01,1.486,
2007-04,1.402,
2007-07,1.461,
2007-10,1.802,
2008-01,1.609,
2008-04,1.624,
2008-07,2.228,
2008-10,1.958,
2009-01,2.172,
2009-04,2.192,
2009-07,2.113,
2009-10,2.140,
2010-01,2.184,
2010-04,2.100,
2010-07,2.287,
2010-10,2.624,
2011-01,2.355,
2011-04,2.469,
2011-07,2.317,
2011-10,2.706,
2012-01,2.933,
2012-04,3.207,
2012-07,3.799,
2012-10,4.123,
2013-01,3.704,
2013-04,3.787,
2013-07,4.051,
2013-10,4.636,
2014-01,4.501,
2014-04,4.793,
2014-07,4.863,
