"",BBK01.CELB09,BBK01.CELB09_FLAGS
"",long-term debt securities debtor: Total                               creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:55,
1999-01,22.4,
1999-04,15.7,
1999-07,14.6,
1999-10,10.5,
2000-01,15.7,
2000-04,-1.7,
2000-07,7.4,
2000-10,-7.6,
2001-01,8.3,
2001-04,5.2,
2001-07,2.1,
2001-10,4.1,
2002-01,14.1,
2002-04,1.2,
2002-07,5.7,
2002-10,6.5,
2003-01,10.7,
2003-04,11.6,
2003-07,21.1,
2003-10,-1.7,
2004-01,-0.3,
2004-04,8.9,
2004-07,2.7,
2004-10,-9.7,
2005-01,10.5,
2005-04,4.6,
2005-07,9.8,
2005-10,6.6,
2006-01,-0.2,
2006-04,14.4,
2006-07,15.0,
2006-10,-8.2,
2007-01,12.1,
2007-04,6.7,
2007-07,-3.4,
2007-10,-3.5,
2008-01,-14.8,
2008-04,11.8,
2008-07,-7.4,
2008-10,-26.0,
2009-01,16.7,
2009-04,32.4,
2009-07,26.1,
2009-10,13.0,
2010-01,15.6,
2010-04,20.5,
2010-07,-12.0,
2010-10,10.9,
2011-01,14.7,
2011-04,13.5,
2011-07,-6.5,
2011-10,-30.3,
2012-01,6.6,
2012-04,22.1,
2012-07,-4.5,
2012-10,33.8,
2013-01,11.8,
2013-04,9.3,
2013-07,14.1,
2013-10,9.2,
2014-01,15.5,
2014-04,9.6,
2014-07,10.4,
