"",BBK01.OELK05H,BBK01.OELK05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:36,
2002-01,0.111,
2002-04,0.114,
2002-07,0.116,
2002-10,0.118,
2003-01,0.118,
2003-04,0.114,
2003-07,0.111,
2003-10,0.122,
2004-01,0.127,
2004-04,0.128,
2004-07,0.133,
2004-10,0.143,
2005-01,0.141,
2005-04,0.139,
2005-07,0.133,
2005-10,0.129,
2006-01,0.131,
2006-04,0.130,
2006-07,0.131,
2006-10,0.137,
2007-01,0.134,
2007-04,0.133,
2007-07,0.133,
2007-10,0.133,
2008-01,0.133,
2008-04,0.132,
2008-07,0.136,
2008-10,0.134,
2009-01,0.135,
2009-04,0.136,
2009-07,0.146,
2009-10,0.164,
2010-01,0.173,
2010-04,0.173,
2010-07,0.173,
2010-10,0.175,
2011-01,0.172,
2011-04,0.175,
2011-07,0.176,
2011-10,0.172,
2012-01,0.161,
2012-04,0.154,
2012-07,0.146,
2012-10,0.132,
2013-01,0.121,
2013-04,0.116,
2013-07,0.105,
2013-10,0.105,
2014-01,0.108,
2014-04,0.105,
2014-07,0.104,
