"",BBK01.OEAD20T,BBK01.OEAD20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:16,
2002-01,0.095,
2002-04,0.096,
2002-07,0.110,
2002-10,0.111,
2003-01,0.128,
2003-04,0.111,
2003-07,0.118,
2003-10,0.109,
2004-01,0.118,
2004-04,0.110,
2004-07,0.104,
2004-10,0.105,
2005-01,0.090,
2005-04,0.062,
2005-07,0.050,
2005-10,0.091,
2006-01,0.095,
2006-04,0.087,
2006-07,0.078,
2006-10,0.057,
2007-01,0.050,
2007-04,0.071,
2007-07,0.075,
2007-10,0.078,
2008-01,0.066,
2008-04,0.073,
2008-07,0.080,
2008-10,0.072,
2009-01,0.067,
2009-04,0.082,
2009-07,0.085,
2009-10,0.072,
2010-01,0.065,
2010-04,0.070,
2010-07,0.075,
2010-10,0.070,
2011-01,0.061,
2011-04,0.066,
2011-07,0.081,
2011-10,0.090,
2012-01,0.087,
2012-04,0.093,
2012-07,0.108,
2012-10,0.106,
2013-01,0.098,
2013-04,0.096,
2013-07,0.095,
2013-10,0.104,
2014-01,0.094,
2014-04,0.091,
2014-07,0.101,
