"",BBK01.OELM04N,BBK01.OELM04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:47,
2002-01,0.320,
2002-04,0.318,
2002-07,0.318,
2002-10,0.372,
2003-01,0.329,
2003-04,0.325,
2003-07,0.356,
2003-10,0.396,
2004-01,0.327,
2004-04,0.358,
2004-07,0.368,
2004-10,0.467,
2005-01,0.409,
2005-04,0.467,
2005-07,0.532,
2005-10,0.445,
2006-01,0.451,
2006-04,0.475,
2006-07,0.668,
2006-10,0.844,
2007-01,0.741,
2007-04,0.740,
2007-07,0.772,
2007-10,0.829,
2008-01,0.624,
2008-04,0.627,
2008-07,0.844,
2008-10,1.050,
2009-01,0.715,
2009-04,0.712,
2009-07,0.805,
2009-10,0.895,
2010-01,0.689,
2010-04,0.662,
2010-07,0.758,
2010-10,0.952,
2011-01,0.721,
2011-04,0.848,
2011-07,0.879,
2011-10,0.899,
2012-01,0.720,
2012-04,0.808,
2012-07,1.007,
2012-10,1.529,
2013-01,1.263,
2013-04,1.402,
2013-07,1.596,
2013-10,1.898,
2014-01,1.315,
2014-04,1.362,
2014-07,1.495,
