"",BBK01.OEHB09O,BBK01.OEHB09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:20,
2002-01,5.789,
2002-04,5.856,
2002-07,5.833,
2002-10,5.695,
2003-01,5.764,
2003-04,5.799,
2003-07,5.777,
2003-10,5.779,
2004-01,5.833,
2004-04,5.766,
2004-07,5.718,
2004-10,5.583,
2005-01,5.643,
2005-04,5.587,
2005-07,5.662,
2005-10,5.537,
2006-01,5.606,
2006-04,5.663,
2006-07,5.659,
2006-10,5.652,
2007-01,5.833,
2007-04,5.843,
2007-07,5.928,
2007-10,6.018,
2008-01,6.133,
2008-04,6.243,
2008-07,6.415,
2008-10,6.519,
2009-01,6.633,
2009-04,6.741,
2009-07,6.869,
2009-10,6.918,
2010-01,7.239,
2010-04,7.268,
2010-07,7.348,
2010-10,7.274,
2011-01,7.347,
2011-04,7.380,
2011-07,7.443,
2011-10,7.479,
2012-01,7.596,
2012-04,7.752,
2012-07,7.802,
2012-10,7.855,
2013-01,8.053,
2013-04,8.076,
2013-07,8.031,
2013-10,8.053,
2014-01,8.109,
2014-04,8.135,
2014-07,8.195,
