"",BBK01.OEAH63J,BBK01.OEAH63J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:16,
2002-01,0.503,
2002-04,0.507,
2002-07,0.503,
2002-10,0.528,
2003-01,0.534,
2003-04,0.531,
2003-07,0.525,
2003-10,0.558,
2004-01,0.555,
2004-04,0.562,
2004-07,0.540,
2004-10,0.526,
2005-01,0.638,
2005-04,0.659,
2005-07,0.689,
2005-10,0.683,
2006-01,0.694,
2006-04,0.682,
2006-07,0.717,
2006-10,0.743,
2007-01,0.734,
2007-04,0.744,
2007-07,0.749,
2007-10,0.764,
2008-01,0.620,
2008-04,0.597,
2008-07,0.612,
2008-10,0.606,
2009-01,0.643,
2009-04,0.682,
2009-07,0.723,
2009-10,0.738,
2010-01,0.743,
2010-04,0.726,
2010-07,0.710,
2010-10,0.722,
2011-01,0.764,
2011-04,0.787,
2011-07,0.777,
2011-10,0.806,
2012-01,0.808,
2012-04,0.744,
2012-07,0.729,
2012-10,0.726,
2013-01,0.700,
2013-04,0.687,
2013-07,0.652,
2013-10,0.665,
2014-01,0.649,
2014-04,0.622,
2014-07,0.181,
