"",BBDE1.M.DE.W.BAA1.A2R240050.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2R240050.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / 24+25 Manufacture of basic metals and fabricated metal products, except machinery and equipment / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:43,
1991-01,76.7,
1991-02,79.2,
1991-03,87.4,
1991-04,81.9,
1991-05,80.9,
1991-06,88.5,
1991-07,81.6,
1991-08,75.2,
1991-09,87.2,
1991-10,88.1,
1991-11,90.5,
1991-12,80.1,
1992-01,78.7,
1992-02,80.7,
1992-03,88.6,
1992-04,82.7,
1992-05,81.9,
1992-06,84.9,
1992-07,79.3,
1992-08,77.1,
1992-09,85.0,
1992-10,83.7,
1992-11,83.5,
1992-12,75.2,
1993-01,72.3,
1993-02,70.0,
1993-03,76.9,
1993-04,73.4,
1993-05,72.3,
1993-06,77.6,
1993-07,71.5,
1993-08,71.5,
1993-09,80.8,
1993-10,80.5,
1993-11,80.0,
1993-12,70.2,
1994-01,70.9,
1994-02,71.4,
1994-03,79.7,
1994-04,77.1,
1994-05,76.9,
1994-06,80.0,
1994-07,74.3,
1994-08,74.6,
1994-09,85.1,
1994-10,85.8,
1994-11,85.8,
1994-12,75.3,
1995-01,75.9,
1995-02,78.1,
1995-03,86.9,
1995-04,81.9,
1995-05,81.1,
1995-06,84.5,
1995-07,81.4,
1995-08,75.9,
1995-09,88.7,
1995-10,84.2,
1995-11,83.4,
1995-12,69.6,
1996-01,72.1,
1996-02,72.7,
1996-03,81.6,
1996-04,76.6,
1996-05,76.5,
1996-06,81.2,
1996-07,76.9,
1996-08,74.8,
1996-09,84.2,
1996-10,83.0,
1996-11,84.6,
1996-12,72.8,
1997-01,72.7,
1997-02,76.6,
1997-03,86.5,
1997-04,81.1,
1997-05,79.9,
1997-06,87.1,
1997-07,85.1,
1997-08,78.1,
1997-09,89.6,
1997-10,91.5,
1997-11,91.8,
1997-12,79.0,
1998-01,80.9,
1998-02,82.3,
1998-03,94.8,
1998-04,86.1,
1998-05,86.5,
1998-06,89.9,
1998-07,87.3,
1998-08,82.0,
1998-09,90.2,
1998-10,90.6,
1998-11,89.0,
1998-12,74.1,
1999-01,79.3,
1999-02,80.0,
1999-03,89.4,
1999-04,84.8,
1999-05,83.9,
1999-06,87.9,
1999-07,85.5,
1999-08,82.6,
1999-09,92.4,
1999-10,92.7,
1999-11,92.7,
1999-12,78.6,
2000-01,83.1,
2000-02,86.3,
2000-03,96.4,
2000-04,90.9,
2000-05,92.1,
2000-06,93.5,
