"",BBEX3.M.KWD.USD.CA.AA.A01,BBEX3.M.KWD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Kuwait  / USD 1 = KWD ... (buying),
unit,KWD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:39,
1990-01,0.29040,
1990-02,0.29130,
1990-03,0.29362,
1990-04,0.29331,
1990-05,0.29138,
1990-06,0.29224,
1990-07,0.28744,comment
1990-08,.,No value available
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,.,No value available
1991-01,.,No value available
1991-02,.,No value available
1991-03,.,No value available
1991-04,.,No value available
1991-05,.,No value available
1991-06,.,No value available
1991-07,0.29162,comment
1991-08,0.29132,
1991-09,0.28720,
1991-10,0.28690,
1991-11,0.28566,
1991-12,0.28397,
1992-01,0.28998,
1992-02,0.29283,
1992-03,0.29445,
1992-04,0.29459,
1992-05,0.29062,
1992-06,0.28841,
1992-07,0.29281,
1992-08,0.29036,
1992-09,0.29052,
1992-10,0.29662,
1992-11,0.29979,
1992-12,0.30240,
1993-01,0.30539,
1993-02,0.30576,
1993-03,0.30225,
1993-04,0.30028,
1993-05,0.30052,
1993-06,0.30083,
1993-07,0.30101,
1993-08,0.30020,
1993-09,0.29860,
1993-10,0.29883,
1993-11,0.29822,
1993-12,0.29812,
1994-01,0.29742,
1994-02,0.29665,
1994-03,0.29678,
1994-04,0.29653,
1994-05,0.29723,
1994-06,0.29503,
1994-07,0.29774,
1994-08,0.29803,
1994-09,0.29707,
1994-10,0.29686,
1994-11,0.29914,
1994-12,0.29982,
1995-01,0.29794,
1995-02,0.29717,
1995-03,0.29378,
1995-04,0.29287,
1995-05,0.29703,
1995-06,0.29902,
1995-07,0.29975,
1995-08,0.30181,
1995-09,0.29852,
1995-10,0.29962,
1995-11,0.29988,
1995-12,0.29863,
1996-01,0.29929,
1996-02,0.29815,
1996-03,0.29883,
1996-04,0.29967,comment
1996-05,0.29948,
1996-06,0.29951,
1996-07,0.29857,
1996-08,0.29884,
1996-09,0.29971,
1996-10,0.29887,
1996-11,0.29748,
1996-12,0.29834,
1997-01,0.30067,
1997-02,0.30154,comment
1997-03,0.30161,
1997-04,0.30254,
1997-05,0.30061,
1997-06,0.30085,
1997-07,0.30314,
1997-08,0.30289,
1997-09,0.30265,
1997-10,0.30114,
1997-11,0.30241,
1997-12,0.30335,
1998-01,0.30310,comment
1998-02,0.30340,
1998-03,0.30427,
1998-04,0.30374,
1998-05,0.30487,
1998-06,0.30501,
1998-07,0.30473,
1998-08,0.30414,
1998-09,0.30200,
1998-10,0.29989,
1998-11,0.30188,
1998-12,0.30001,
1999-01,0.30123,
1999-02,0.30288,
1999-03,0.30272,
1999-04,0.30376,
1999-05,0.30468,
1999-06,0.30508,
1999-07,0.30339,
1999-08,0.30328,
1999-09,0.30168,
1999-10,0.30156,
1999-11,0.30286,
1999-12,0.30263,
2000-01,0.30400,
2000-02,0.30510,
2000-03,0.30463,
2000-04,0.30611,
2000-05,0.30533,
2000-06,0.30471,
2000-07,0.30596,
2000-08,0.30644,
2000-09,0.30531,
2000-10,0.30656,
2000-11,0.30576,
2000-12,0.30387,
2001-01,0.30455,
2001-02,0.30508,
2001-03,0.30646,
2001-04,0.30587,
2001-05,0.30643,
2001-06,0.30608,
2001-07,0.30540,
2001-08,0.30357,
2001-09,0.30335,
2001-10,0.30380,
2001-11,0.30472,
2001-12,0.30561,
2002-01,0.30632,
2002-02,0.30637,
2002-03,0.30597,
2002-04,0.30419,
2002-05,0.30271,
2002-06,0.30007,
2002-07,0.29995,
2002-08,0.30019,
2002-09,0.30026,
2002-10,0.30035,
2002-11,0.30037,
2002-12,0.29788,
2003-01,0.29694,
2003-02,0.29817,
2003-03,0.29828,
2003-04,0.29844,
2003-05,0.29859,
2003-06,0.29972,
2003-07,0.29892,
2003-08,0.29914,
2003-09,0.29393,
2003-10,0.29332,
2003-11,0.29415,
2003-12,0.29315,
2004-01,0.29315,
2004-02,0.29315,
2004-03,0.29315,
2004-04,0.29315,
2004-05,0.29315,
2004-06,0.29315,
2004-07,0.29315,
2004-08,0.29315,
2004-09,0.29315,
2004-10,0.29315,
2004-11,0.29315,
2004-12,0.29315,
2005-01,0.29145,
2005-02,0.29145,
2005-03,0.29145,
2005-04,0.29145,
2005-05,0.29145,
2005-06,0.29145,
2005-07,0.29145,
2005-08,0.29145,
2005-09,0.29145,
2005-10,0.29145,
2005-11,0.29145,
2005-12,0.29145,
2006-01,0.29145,
2006-02,0.29145,
2006-03,0.29145,
2006-04,0.29145,
2006-05,0.28859,
2006-06,0.28859,
2006-07,0.28859,
2006-08,0.28859,
2006-09,0.28859,
2006-10,0.28859,
2006-11,0.28859,
2006-12,0.28859,
2007-01,0.28859,
2007-02,0.28859,
2007-03,0.28859,
2007-04,0.28859,
2007-05,0.28751,
2007-06,0.28751,
2007-07,0.28145,
2007-08,0.28105,
2007-09,0.27870,
2007-10,0.27655,
2007-11,0.27365,
2007-12,0.27245,
2008-01,0.27255,
2008-02,0.27215,
2008-03,0.26495,
2008-04,0.26585,
2008-05,0.26445,
2008-06,0.26425,
2008-07,0.26525,
2008-08,0.26665,
2008-09,0.26575,
2008-10,0.26690,
2008-11,0.27265,
2008-12,0.27540,
2009-01,0.28765,
2009-02,0.29090,
2009-03,0.29075,
2009-04,0.29045,
2009-05,0.28810,
2009-06,0.28650,
2009-07,0.28635,
2009-08,0.28670,
2009-09,0.28605,
2009-10,0.28570,
2009-11,0.28440,
2009-12,0.28625,
2010-01,0.28655,
2010-02,0.28790,
2010-03,0.28825,
2010-04,0.28830,
2010-05,0.29060,
2010-06,0.28960,
2010-07,0.28640,
2010-08,0.28695,
2010-09,0.28285,
2010-10,0.27985,
2010-11,0.28100,
2010-12,0.27905,
2011-01,0.27780,
2011-02,0.27670,
2011-03,0.27565,
2011-04,0.27265,
2011-05,0.27320,
2011-06,0.27290,
2011-07,0.27130,
2011-08,0.27025,
2011-09,0.27385,
2011-10,0.27315,
2011-11,0.27570,
2011-12,0.27700,
2012-01,0.27590,
2012-02,0.27555,
2012-03,0.27620,
2012-04,0.27595,
2012-05,0.27915,
2012-06,0.27860,
2012-07,0.28025,
2012-08,0.28040,
2012-09,0.27980,
2012-10,0.27975,
2012-11,0.28010,
2012-12,0.27995,
2013-01,0.27940,
2013-02,0.28160,
2013-03,0.28430,
2013-04,0.28305,
2013-05,0.28430,
2013-06,0.28355,
2013-07,0.28310,
2013-08,0.28230,
2013-09,0.28150,
2013-10,0.28060,
2013-11,0.28115,
2013-12,0.28050,
2014-01,0.28065,
2014-02,0.27970,
2014-03,0.28035,
2014-04,0.27990,
2014-05,0.28030,
2014-06,0.28050,
2014-07,0.28230,
2014-08,0.28285,
2014-09,0.28675,
2014-10,0.28795,
2014-11,0.28945,
2014-12,0.29100,
2015-01,0.29340,
"","General: Owing to the Iraqi occupation of Kuwait and the subsequent war, no exchange rates were available from August 1990 to February 1991. Exchange rates only began to be reported again at the end of March 1991. The following indicative exchange rates were published by the United Bank of Kuwait, London: End-March 1991: USD 1 = KWD 0.29039  End-April 1991: USD 1 = KWD 0.29117 End-May 1991: USD 1 = KWD 0.29009 End-June 1991: USD 1 = KWD 0.29379",
"","Source: Since January 2005: Commercial Bank of Kuwait 1990 - December 2004: Bank of Kuwait and the Middle East, Kuwait",
"","Comment on 1990-07: Exchange rate on 1 August 1990. After this, no further exchange rates were available due to the Iraqi occupation and the subsequent war.",
"","Comment on 1991-07: On 25 July 1991, interbank trading resumed.",
"",Comment on 1996-04: Exchange rate as of 25 April 1996.,
"",Comment on 1997-02: Exchange rate as of 24 Feburary 1997.,
"",Comment on 1998-01: Exchange rate as of 28 January 1998.,
