"",BBEX3.M.AOA.EUR.CA.AC.A01,BBEX3.M.AOA.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Angola / EUR 1 = AOA ... (middle),
unit,AOA (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:40,
1999-12,5.620940,comment
2000-01,5.810010,
2000-02,5.722985,
2000-03,5.705920,
2000-04,6.175220,
2000-05,8.023760,
2000-06,9.753810,
2000-07,10.453910,
2000-08,11.058220,
2000-09,11.459225,
2000-10,11.716080,
2000-11,12.951180,
2000-12,15.516595,
2001-01,17.231075,
2001-02,17.833950,
2001-03,17.260615,
2001-04,17.534850,
2001-05,16.813930,
2001-06,17.245275,
2001-07,18.390950,
2001-08,20.316575,
2001-09,22.179040,
2001-10,23.894595,
2001-11,25.293845,
2001-12,28.193735,
2002-01,29.355210,
2002-02,30.854815,
2002-03,32.442915,
2002-04,35.181300,
2002-05,38.452955,
2002-06,42.637065,
2002-07,44.795885,
2002-08,46.611500,
2002-09,48.442090,
2002-10,50.841015,
2002-11,54.533980,
2002-12,61.115755,
2003-01,68.035360,
2003-02,71.446070,
2003-03,73.379905,
2003-04,78.536400,
2003-05,87.161060,
2003-06,89.651525,
2003-07,95.505300,
2003-08,93.521890,
2003-09,90.566835,
2003-10,91.725240,
2003-11,93.088840,
2003-12,98.855845,comment
2004-01,100.524720,
2004-02,99.850350,
2004-03,98.628750,
2004-04,96.834615,
2004-05,101.177355,
2004-06,101.552875,
2004-07,101.150085,
2004-08,102.732985,
2004-09,107.110185,
2004-10,110.756345,
2004-11,114.986795,
2004-12,116.632290,
2005-01,113.687435,
2005-02,115.356820,
2005-03,112.943155,
2005-04,113.743930,
2005-05,111.496710,
2005-06,107.390500,
2005-07,107.755870,
2005-08,108.987745,
2005-09,107.542155,
2005-10,106.513040,
2005-11,95.543800,
2005-12,95.780280,
2006-01,97.201455,
2006-02,95.740365,
2006-03,96.908020,
2006-04,99.982985,
2006-05,102.465585,
2006-06,100.844780,
2006-07,101.967630,
2006-08,103.121515,
2006-09,101.968635,
2006-10,102.217795,
2006-11,105.902350,comment
2006-12,105.512435,
2007-01,104.030790,
2007-02,105.776935,
2007-03,106.709550,
2007-04,107.223000,
2007-05,100.733000,
2007-06,100.816000,
2007-07,102.293000,
2007-08,102.225500,
2007-09,106.090000,
2007-10,108.014500,
2007-11,110.598000,
2007-12,110.209000,
2008-01,110.960500,
2008-02,113.536000,
2008-03,118.408000,
2008-04,116.768500,
2008-05,116.522500,
2008-06,118.103500,
2008-07,116.615500,
2008-08,110.420000,
2008-09,108.011000,
2008-10,97.263500,
2008-11,96.961500,
2008-12,106.194500,
2009-01,98.648500,
2009-02,96.409000,
2009-03,100.183500,
2009-04,101.688500,
2009-05,108.668000,
2009-06,109.516000,
2009-07,109.520000,
2009-08,111.850000,
2009-09,113.328500,
2009-10,124.732000,
2009-11,131.054000,
2009-12,128.202000,
2010-01,126.193000,
2010-02,121.896500,
2010-03,125.162500,
2010-04,123.362500,
2010-05,114.250500,
2010-06,114.488500,
2010-07,120.621500,
2010-08,114.713000,
2010-09,124.993500,
2010-10,128.150500,
2010-11,122.355500,
2010-12,122.696500,
2011-01,127.730000,
2011-02,128.097000,
2011-03,131.855000,
2011-04,136.868000,
2011-05,133.230500,
2011-06,133.560000,
2011-07,135.248000,
2011-08,135.429500,
2011-09,128.081000,comment
2011-10,135.073000,
2011-11,127.541500,
2011-12,123.137000,
2012-01,125.319500,
2012-02,128.055500,
2012-03,126.966500,
2012-04,126.136500,
2012-05,118.709500,
2012-06,118.954000,
2012-07,116.698500,
2012-08,119.694500,
2012-09,122.768500,
2012-10,123.686500,
2012-11,123.358500,
2012-12,126.375000,
2013-01,130.046000,
2013-02,125.609000,
2013-03,122.566000,
2013-04,125.722500,
2013-05,124.513500,
2013-06,125.426500,
2013-07,127.531500,
2013-08,127.329000,
2013-09,131.651500,
2013-10,133.602500,
2013-11,132.465500,
2013-12,134.386500,
2014-01,132.556000,
2014-02,133.281000,
2014-03,134.328000,
2014-04,134.946500,
2014-05,133.022000,
2014-06,132.986000,
2014-07,130.105500,
2014-08,128.537000,
2014-09,124.751500,
2014-10,125.391000,
2014-11,126.096000,
2014-12,125.194500,
2015-01,117.853500,
"","General: With effect from 13 December 1999, a currency changeover took place to the ratio of 1,000,000 AOR (readjusted Kwanza) = 1 AOA (kwanza).",
"","Source: Calculated on the basis of the buying and selling rates of the Banco Nacional de Angola, Luanda.",
"","Comment on 1999-12: With effect from 13 December 1999, a currency changeover took place. We recorded the following exchange rates (buying/selling rate).10 December 1999: EUR 1 = AOR 5,531,426 / 5,622,07713 December 1999: EUR 1 = AOA 5.50 / 5.60.",
"",Comment on 2003-12: Exchange rate as of 5 January 2004.,
"",Comment on 2006-11: Exchange rate as of 1 December 2006.,
"",Comment on 2011-09: Exchange rate as of 3 October 2011.,
