"",BBK01.OEAC31O,BBK01.OEAC31O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:53,
2002-01,4.850,
2002-04,4.690,
2002-07,4.657,
2002-10,4.757,
2003-01,4.627,
2003-04,4.641,
2003-07,4.735,
2003-10,4.905,
2004-01,5.059,
2004-04,4.939,
2004-07,4.954,
2004-10,4.851,
2005-01,4.646,
2005-04,4.642,
2005-07,4.603,
2005-10,4.533,
2006-01,4.505,
2006-04,4.582,
2006-07,4.587,
2006-10,4.627,
2007-01,4.588,
2007-04,4.761,
2007-07,4.818,
2007-10,4.816,
2008-01,4.896,
2008-04,4.890,
2008-07,4.490,
2008-10,4.416,
2009-01,4.307,
2009-04,4.873,
2009-07,5.111,
2009-10,5.434,
2010-01,5.543,
2010-04,5.756,
2010-07,5.613,
2010-10,5.461,
2011-01,5.381,
2011-04,5.450,
2011-07,5.699,
2011-10,5.463,
2012-01,5.787,
2012-04,5.891,
2012-07,5.869,
2012-10,5.777,
2013-01,5.620,
2013-04,5.576,
2013-07,6.300,
2013-10,6.059,
2014-01,6.210,
2014-04,6.330,
2014-07,6.227,
