"",BBK01.OEAH96N,BBK01.OEAH96N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:46,
2002-01,2.536,
2002-04,2.339,
2002-07,2.294,
2002-10,2.335,
2003-01,2.320,
2003-04,2.259,
2003-07,2.147,
2003-10,2.022,
2004-01,1.976,
2004-04,1.925,
2004-07,1.894,
2004-10,1.440,
2005-01,1.431,
2005-04,1.259,
2005-07,1.216,
2005-10,1.203,
2006-01,1.199,
2006-04,1.179,
2006-07,1.151,
2006-10,1.145,
2007-01,1.139,
2007-04,1.122,
2007-07,1.102,
2007-10,1.111,
2008-01,1.120,
2008-04,1.109,
2008-07,1.097,
2008-10,1.156,
2009-01,1.173,
2009-04,1.187,
2009-07,1.223,
2009-10,1.277,
2010-01,1.303,
2010-04,1.327,
2010-07,1.341,
2010-10,1.375,
2011-01,1.370,
2011-04,1.339,
2011-07,1.308,
2011-10,1.345,
2012-01,1.357,
2012-04,1.388,
2012-07,1.409,
2012-10,1.415,
2013-01,1.386,
2013-04,1.386,
2013-07,1.386,
2013-10,1.387,
2014-01,1.374,
2014-04,1.358,
2014-07,1.341,
