"",BBK01.OEHB13O,BBK01.OEHB13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:22,
2002-01,8.009,
2002-04,8.001,
2002-07,8.032,
2002-10,7.986,
2003-01,7.987,
2003-04,7.965,
2003-07,7.997,
2003-10,7.942,
2004-01,7.998,
2004-04,8.007,
2004-07,8.007,
2004-10,7.897,
2005-01,7.922,
2005-04,7.870,
2005-07,7.829,
2005-10,7.758,
2006-01,7.737,
2006-04,7.719,
2006-07,7.710,
2006-10,7.668,
2007-01,7.618,
2007-04,7.553,
2007-07,7.526,
2007-10,7.507,
2008-01,7.480,
2008-04,7.478,
2008-07,7.448,
2008-10,7.520,
2009-01,7.455,
2009-04,7.521,
2009-07,7.492,
2009-10,7.497,
2010-01,7.442,
2010-04,7.505,
2010-07,7.621,
2010-10,7.608,
2011-01,7.569,
2011-04,7.642,
2011-07,7.682,
2011-10,7.718,
2012-01,7.767,
2012-04,7.816,
2012-07,7.821,
2012-10,7.889,
2013-01,7.855,
2013-04,7.831,
2013-07,7.795,
2013-10,7.805,
2014-01,7.822,
2014-04,7.852,
2014-07,7.889,
