"",BBK01.OECL01V,BBK01.OECL01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:24,
2002-01,2.198,
2002-04,2.148,
2002-07,2.140,
2002-10,2.214,
2003-01,2.136,
2003-04,2.064,
2003-07,2.046,
2003-10,2.109,
2004-01,1.981,
2004-04,2.634,
2004-07,2.643,
2004-10,2.692,
2005-01,4.753,
2005-04,4.714,
2005-07,4.638,
2005-10,4.653,
2006-01,4.592,
2006-04,4.466,
2006-07,4.356,
2006-10,4.389,
2007-01,4.400,
2007-04,4.471,
2007-07,4.533,
2007-10,4.788,
2008-01,4.852,
2008-04,4.974,
2008-07,5.200,
2008-10,5.602,
2009-01,5.680,
2009-04,5.452,
2009-07,5.322,
2009-10,5.233,
2010-01,5.153,
2010-04,5.139,
2010-07,5.144,
2010-10,5.201,
2011-01,5.113,
2011-04,5.135,
2011-07,5.177,
2011-10,5.342,
2012-01,5.551,
2012-04,5.641,
2012-07,5.670,
2012-10,5.734,
2013-01,5.686,
2013-04,5.708,
2013-07,5.670,
2013-10,5.805,
2014-01,5.826,
2014-04,5.860,
2014-07,5.883,
