"",BBFB1.Q.N.DE.A7.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:11,
1991-01,293.818,
1991-04,184.991,
1991-07,194.291,
1991-10,222.042,
1992-01,302.864,
1992-04,309.705,
1992-07,401.145,
1992-10,450.907,
1993-01,563.591,
1993-04,540.633,
1993-07,472.382,
1993-10,457.127,
1994-01,508.705,
1994-04,628.147,
1994-07,536.908,
1994-10,546.936,
1995-01,265.253,
1995-04,222.986,
1995-07,211.049,
1995-10,239.041,
1996-01,547.729,
1996-04,586.689,
1996-07,635.412,
1996-10,636.420,
1997-01,512.731,
1997-04,429.556,
1997-07,511.066,
1997-10,509.051,
1998-01,577.347,
1998-04,558.538,
1998-07,484.987,
1998-10,478.849,
1999-01,261.303,
1999-04,310.563,
1999-07,254.509,
1999-10,310.606,
2000-01,600.683,
2000-04,686.693,
2000-07,598.601,
2000-10,474.050,
2001-01,370.197,
2001-04,207.723,
2001-07,193.340,
2001-10,284.887,
2002-01,300.598,
2002-04,251.859,
2002-07,192.103,
2002-10,155.917,
2003-01,214.738,
2003-04,206.187,
2003-07,188.981,
2003-10,175.159,
2004-01,453.244,
2004-04,431.434,
2004-07,462.046,
2004-10,481.437,
2005-01,452.336,
2005-04,447.331,
2005-07,450.812,
2005-10,447.780,
2006-01,355.394,
2006-04,359.971,
2006-07,378.684,
2006-10,368.100,
2007-01,663.910,
2007-04,635.052,
2007-07,566.277,
2007-10,465.646,
2008-01,585.554,
2008-04,395.381,
2008-07,370.886,
2008-10,524.554,
2009-01,454.890,
2009-04,465.762,
2009-07,427.740,
2009-10,474.153,
2010-01,641.919,
2010-04,680.610,
2010-07,694.318,
2010-10,718.469,
2011-01,644.705,
2011-04,683.921,
2011-07,719.754,
2011-10,729.381,
2012-01,735.475,
2012-04,759.528,
2012-07,733.229,
2012-10,739.028,
2013-01,448.620,
2013-04,467.286,
2013-07,442.613,
2013-10,452.368,
2014-01,421.331,Provisional value
2014-04,469.475,Provisional value
2014-07,441.636,Provisional value
