"",BBFN1.M.DE.N.1.A.VE.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VE.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Venezuela,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:24,
1994-07,0.295,
1994-08,0.298,
1994-09,0.297,
1994-10,0.311,
1994-11,0.308,
1994-12,0.306,
1995-01,0.295,
1995-02,0.287,
1995-03,0.280,
1995-04,0.283,
1995-05,0.287,
1995-06,0.279,
1995-07,0.277,
1995-08,0.279,
1995-09,0.277,
1995-10,0.271,
1995-11,0.260,
1995-12,0.256,
1996-01,0.242,
1996-02,0.243,
1996-03,0.234,
1996-04,0.238,
1996-05,0.251,
1996-06,0.267,
1996-07,0.246,
1996-08,0.243,
1996-09,0.258,
1996-10,0.252,
1996-11,0.263,
1996-12,0.250,
1997-01,0.241,
1997-02,0.271,
1997-03,0.247,
1997-04,0.241,
1997-05,0.241,
1997-06,0.251,
1997-07,0.284,
1997-08,0.269,
1997-09,0.303,
1997-10,0.208,
1997-11,0.202,
1997-12,0.210,
1998-01,0.201,
1998-02,0.233,
1998-03,0.225,
1998-04,0.214,
1998-05,0.219,
1998-06,0.217,
1998-07,0.214,
1998-08,0.246,
1998-09,0.244,
1998-10,0.228,
1998-11,0.253,
1998-12,0.233,
1999-01,0.253,
1999-02,0.245,
1999-03,0.254,
1999-04,0.255,
1999-05,0.293,
1999-06,0.275,
1999-07,0.275,
1999-08,0.295,
1999-09,0.262,
1999-10,0.268,
1999-11,0.279,
1999-12,0.265,
2000-01,0.269,
2000-02,0.273,
2000-03,0.302,
2000-04,0.279,
2000-05,0.295,
2000-06,0.304,
2000-07,0.312,
2000-08,0.290,
2000-09,0.321,
2000-10,0.485,
2000-11,0.460,
2000-12,0.408,
2001-01,0.427,
2001-02,0.379,
2001-03,0.389,
2001-04,0.437,
2001-05,0.466,
2001-06,0.461,
2001-07,0.421,
2001-08,0.422,
2001-09,0.467,
2001-10,0.455,
2001-11,0.435,
2001-12,0.415,
2002-01,0.408,
2002-02,0.391,
2002-03,0.403,
2002-04,0.430,
2002-05,0.441,
2002-06,0.437,
2002-07,0.422,
2002-08,0.333,
2002-09,0.398,
2002-10,0.341,
2002-11,0.304,
2002-12,0.351,
2003-01,0.317,
2003-02,0.365,
2003-03,0.382,
2003-04,0.348,
2003-05,0.382,
2003-06,0.339,
2003-07,0.354,
2003-08,0.362,
2003-09,0.339,
2003-10,0.357,
2003-11,0.288,
2003-12,0.406,
2004-01,0.353,
2004-02,0.410,
2004-03,0.446,
2004-04,0.399,
2004-05,0.393,
2004-06,0.483,
2004-07,0.389,
2004-08,0.405,
2004-09,0.419,
2004-10,0.437,
2004-11,0.473,
2004-12,0.442,
2005-01,0.431,
2005-02,0.387,
2005-03,0.419,
2005-04,0.479,
2005-05,0.461,
2005-06,0.473,
2005-07,0.480,
2005-08,0.553,
2005-09,0.500,
2005-10,0.553,
2005-11,0.537,
2005-12,0.526,
2006-01,0.519,
2006-02,0.444,
2006-03,0.463,
2006-04,0.471,
2006-05,0.574,
2006-06,0.581,
2006-07,0.546,
2006-08,0.512,
2006-09,0.516,
2006-10,0.528,
2006-11,0.513,
2006-12,0.460,
2007-01,0.455,
2007-02,0.464,
2007-03,0.523,
2007-04,0.519,
2007-05,0.603,
2007-06,0.518,
2007-07,0.620,
2007-08,0.572,
2007-09,0.620,
2007-10,0.616,
2007-11,0.728,
2007-12,0.707,
2008-01,0.778,
2008-02,0.737,
2008-03,0.803,
2008-04,0.795,
2008-05,0.874,
2008-06,0.875,
2008-07,0.827,
2008-08,0.805,
2008-09,0.761,
2008-10,0.743,
2008-11,0.668,
2008-12,0.636,
2009-01,0.678,
2009-02,0.647,
2009-03,0.687,
2009-04,0.605,
2009-05,0.719,
2009-06,0.730,
2009-07,0.764,
2009-08,0.782,
2009-09,0.756,
2009-10,0.712,
2009-11,0.744,
2009-12,0.779,
2010-01,0.703,
2010-02,0.693,
2010-03,0.742,
2010-04,0.670,
2010-05,0.713,
2010-06,0.720,
2010-07,0.719,
2010-08,0.775,
2010-09,0.773,
2010-10,0.761,
2010-11,0.718,
2010-12,0.680,
2011-01,0.742,
2011-02,0.768,
2011-03,0.764,
2011-04,0.800,
2011-05,0.406,
2011-06,0.406,
2011-07,0.410,
2011-08,0.435,
2011-09,0.416,
2011-10,0.436,
2011-11,0.433,
2011-12,0.441,
2012-01,0.440,
2012-02,0.455,
2012-03,0.466,
2012-04,0.480,
2012-05,0.500,
2012-06,0.509,
2012-07,0.526,
2012-08,0.538,
2012-09,0.580,
2012-10,0.419,
2012-11,0.436,
2012-12,0.450,
2013-01,0.435,
2013-02,0.432,
2013-03,0.424,
2013-04,0.427,
2013-05,0.439,
2013-06,0.435,
2013-07,0.461,
2013-08,0.476,
2013-09,0.527,
2013-10,0.546,
2013-11,0.584,
2013-12,0.591,
2014-01,0.615,
2014-02,0.590,
2014-03,0.595,
2014-04,0.579,
2014-05,0.572,
2014-06,0.568,
2014-07,0.541,
2014-08,0.550,
2014-09,0.559,
2014-10,0.570,
2014-11,0.570,
2014-12,0.589,
