"",BBFN1.M.DE.N.1.A.GR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Greece,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:19,
1975-12,0.017,
1976-01,0.018,
1976-02,0.016,
1976-03,0.017,
1976-04,0.017,
1976-05,0.022,
1976-06,0.022,
1976-07,0.019,
1976-08,0.019,
1976-09,0.022,
1976-10,0.021,
1976-11,0.020,
1976-12,0.020,
1977-01,0.020,
1977-02,0.019,
1977-03,0.018,
1977-04,0.018,
1977-05,0.017,
1977-06,0.017,
1977-07,0.018,
1977-08,0.020,
1977-09,0.018,
1977-10,0.018,
1977-11,0.017,
1977-12,0.017,
1978-01,0.015,
1978-02,0.015,
1978-03,0.016,
1978-04,0.016,
1978-05,0.016,
1978-06,0.018,
1978-07,0.019,
1978-08,0.020,
1978-09,0.019,
1978-10,0.016,
1978-11,0.011,
1978-12,0.015,
1979-01,0.014,
1979-02,0.012,
1979-03,0.009,
1979-04,0.009,
1979-05,0.012,
1979-06,0.014,
1979-07,0.014,
1979-08,0.017,
1979-09,0.017,
1979-10,0.014,
1979-11,0.014,
1979-12,0.016,
1980-01,0.016,
1980-02,0.016,
1980-03,0.017,
1980-04,0.016,
1980-05,0.018,
1980-06,0.019,
1980-07,0.020,
1980-08,0.019,
1980-09,0.018,
1980-10,0.014,
1980-11,0.014,
1980-12,0.013,
1981-01,0.013,
1981-02,0.012,
1981-03,0.011,
1981-04,0.013,
1981-05,0.017,
1981-06,0.025,
1981-07,0.034,
1981-08,0.036,
1981-09,0.020,
1981-10,0.021,
1981-11,0.019,
1981-12,0.032,
1982-01,0.019,
1982-02,0.018,
1982-03,0.018,
1982-04,0.018,
1982-05,0.022,
1982-06,0.031,
1982-07,0.024,
1982-08,0.020,
1982-09,0.020,
1982-10,0.017,
1982-11,0.018,
1982-12,0.017,
1983-01,0.016,
1983-02,0.016,
1983-03,0.017,
1983-04,0.017,
1983-05,0.016,
1983-06,0.021,
1983-07,0.020,
1983-08,0.026,
1983-09,0.025,
1983-10,0.026,
1983-11,0.038,
1983-12,0.025,
1984-01,0.028,
1984-02,0.033,
1984-03,0.033,
1984-04,0.033,
1984-05,0.032,
1984-06,0.037,
1984-07,0.035,
1984-08,0.038,
1984-09,0.036,
1984-10,0.031,
1984-11,0.039,
1984-12,0.025,
1985-01,0.024,
1985-02,0.025,
1985-03,0.026,
1985-04,0.032,
1985-05,0.033,
1985-06,0.035,
1985-07,0.037,
1985-08,0.037,
1985-09,0.034,
1985-10,0.028,
1985-11,0.029,
1985-12,0.027,
1986-01,0.021,
1986-02,0.017,
1986-03,0.032,
1986-04,0.021,
1986-05,0.024,
1986-06,0.021,
1986-07,0.020,
1986-08,0.026,
