"",BBK01.OEHB06M,BBK01.OEHB06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:57,
2002-01,7.613,
2002-04,7.607,
2002-07,7.698,
2002-10,7.441,
2003-01,7.670,
2003-04,7.868,
2003-07,7.665,
2003-10,7.264,
2004-01,7.180,
2004-04,7.251,
2004-07,7.180,
2004-10,6.940,
2005-01,7.198,
2005-04,7.035,
2005-07,6.980,
2005-10,6.638,
2006-01,6.941,
2006-04,6.999,
2006-07,6.806,
2006-10,6.546,
2007-01,6.716,
2007-04,6.641,
2007-07,6.384,
2007-10,6.249,
2008-01,6.463,
2008-04,6.341,
2008-07,6.632,
2008-10,6.390,
2009-01,6.636,
2009-04,6.269,
2009-07,5.954,
2009-10,5.474,
2010-01,5.803,
2010-04,5.847,
2010-07,5.661,
2010-10,5.339,
2011-01,5.644,
2011-04,5.574,
2011-07,5.337,
2011-10,5.063,
2012-01,5.312,
2012-04,5.233,
2012-07,5.496,
2012-10,5.085,
2013-01,5.185,
2013-04,5.191,
2013-07,5.240,
2013-10,5.086,
2014-01,4.976,
2014-04,5.086,
2014-07,5.121,
