"",BBK01.OEAB06L,BBK01.OEAB06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:07,
2002-01,68.490,
2002-04,57.164,
2002-07,57.269,
2002-10,56.484,
2003-01,65.945,
2003-04,61.117,
2003-07,63.037,
2003-10,62.069,
2004-01,64.466,
2004-04,56.546,
2004-07,55.294,
2004-10,57.079,
2005-01,63.334,
2005-04,65.055,
2005-07,74.418,
2005-10,68.397,
2006-01,74.920,
2006-04,78.032,
2006-07,78.140,
2006-10,59.311,
2007-01,71.248,
2007-04,75.507,
2007-07,69.690,
2007-10,68.049,
2008-01,77.358,
2008-04,76.116,
2008-07,76.173,
2008-10,85.054,
2009-01,100.044,
2009-04,90.249,
2009-07,84.108,
2009-10,72.059,
2010-01,65.691,
2010-04,70.907,
2010-07,60.614,
2010-10,68.314,
2011-01,77.231,
2011-04,73.426,
2011-07,74.168,
2011-10,74.315,
2012-01,74.334,
2012-04,71.567,
2012-07,70.571,
2012-10,72.187,
2013-01,75.698,
2013-04,82.978,
2013-07,48.831,
2013-10,51.111,
2014-01,52.178,
2014-04,51.931,
2014-07,50.639,
