"",BBK01.OEBB07U,BBK01.OEBB07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:01,
2002-01,0.554,
2002-04,0.585,
2002-07,0.574,
2002-10,0.817,
2003-01,0.828,
2003-04,0.883,
2003-07,0.930,
2003-10,0.955,
2004-01,1.013,
2004-04,1.025,
2004-07,1.047,
2004-10,1.029,
2005-01,1.013,
2005-04,1.007,
2005-07,1.106,
2005-10,1.102,
2006-01,1.114,
2006-04,1.136,
2006-07,1.167,
2006-10,1.199,
2007-01,1.142,
2007-04,1.081,
2007-07,1.022,
2007-10,0.876,
2008-01,0.819,
2008-04,0.800,
2008-07,0.756,
2008-10,0.740,
2009-01,0.723,
2009-04,0.690,
2009-07,0.675,
2009-10,0.665,
2010-01,0.687,
2010-04,0.682,
2010-07,0.688,
2010-10,0.679,
2011-01,0.675,
2011-04,0.679,
2011-07,0.672,
2011-10,0.640,
2012-01,0.647,
2012-04,0.634,
2012-07,0.644,
2012-10,0.626,
2013-01,0.629,
2013-04,0.639,
2013-07,0.703,
2013-10,0.680,
2014-01,0.649,
2014-04,0.635,
2014-07,0.605,
