"",BBK01.OEAA02P,BBK01.OEAA02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:47,
2002-01,3.768,
2002-04,3.832,
2002-07,3.784,
2002-10,3.123,
2003-01,3.238,
2003-04,3.184,
2003-07,2.907,
2003-10,2.761,
2004-01,2.599,
2004-04,2.497,
2004-07,2.597,
2004-10,2.498,
2005-01,2.560,
2005-04,2.635,
2005-07,2.688,
2005-10,2.581,
2006-01,2.622,
2006-04,2.765,
2006-07,2.541,
2006-10,2.611,
2007-01,2.465,
2007-04,2.402,
2007-07,2.397,
2007-10,2.415,
2008-01,2.422,
2008-04,2.578,
2008-07,2.453,
2008-10,2.422,
2009-01,2.415,
2009-04,2.364,
2009-07,2.311,
2009-10,2.442,
2010-01,2.531,
2010-04,2.407,
2010-07,2.252,
2010-10,2.522,
2011-01,2.654,
2011-04,2.765,
2011-07,2.433,
2011-10,2.626,
2012-01,2.742,
2012-04,2.525,
2012-07,2.472,
2012-10,2.503,
2013-01,2.560,
2013-04,2.788,
2013-07,2.881,
2013-10,2.728,
2014-01,2.753,
2014-04,2.820,
2014-07,2.746,
