"",BBK01.CEFE15,BBK01.CEFE15_FLAGS
"",short-term loans  debtor: Non-financial corporations                        creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:39,
1999-01,7.3,
1999-04,8.0,
1999-07,8.7,
1999-10,9.4,
2000-01,9.1,
2000-04,8.8,
2000-07,8.5,
2000-10,8.2,
2001-01,9.1,
2001-04,9.9,
2001-07,10.7,
2001-10,11.5,
2002-01,11.1,
2002-04,10.7,
2002-07,16.3,
2002-10,12.7,
2003-01,17.3,
2003-04,20.9,
2003-07,21.2,
2003-10,20.9,
2004-01,21.0,
2004-04,21.3,
2004-07,20.3,
2004-10,18.1,
2005-01,21.2,
2005-04,24.7,
2005-07,23.0,
2005-10,22.6,
2006-01,23.7,
2006-04,26.1,
2006-07,27.0,
2006-10,27.2,
2007-01,31.6,
2007-04,37.1,
2007-07,36.4,
2007-10,39.3,
2008-01,37.5,
2008-04,37.4,
2008-07,38.4,
2008-10,33.9,
2009-01,35.0,
2009-04,36.4,
2009-07,36.1,
2009-10,33.8,
2010-01,34.7,
2010-04,35.5,
2010-07,34.8,
2010-10,31.9,
2011-01,32.2,
2011-04,36.1,
2011-07,38.1,
2011-10,36.4,
2012-01,38.0,
2012-04,41.2,
2012-07,45.7,
2012-10,50.0,
2013-01,51.8,
2013-04,52.0,
2013-07,51.5,
2013-10,48.4,
2014-01,55.6,
2014-04,56.1,
2014-07,54.3,
