"",BBK01.OEXB19Q,BBK01.OEXB19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:42,
2002-01,0.235,
2002-04,0.228,
2002-07,0.226,
2002-10,0.214,
2003-01,0.199,
2003-04,0.197,
2003-07,0.185,
2003-10,0.184,
2004-01,0.179,
2004-04,0.180,
2004-07,0.179,
2004-10,0.143,
2005-01,0.139,
2005-04,0.142,
2005-07,0.147,
2005-10,0.147,
2006-01,0.147,
2006-04,0.150,
2006-07,0.151,
2006-10,0.159,
2007-01,0.155,
2007-04,0.154,
2007-07,0.156,
2007-10,0.153,
2008-01,0.153,
2008-04,0.152,
2008-07,0.151,
2008-10,0.150,
2009-01,0.163,
2009-04,0.159,
2009-07,0.170,
2009-10,0.167,
2010-01,0.157,
2010-04,0.162,
2010-07,0.158,
2010-10,0.154,
2011-01,0.151,
2011-04,0.144,
2011-07,0.147,
2011-10,0.136,
2012-01,0.134,
2012-04,0.123,
2012-07,0.111,
2012-10,0.106,
2013-01,0.105,
2013-04,0.104,
2013-07,0.106,
2013-10,0.106,
2014-01,0.099,
2014-04,0.101,
2014-07,0.099,
