"",BBK01.OEBL01L,BBK01.OEBL01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:01,
2002-01,25.563,
2002-04,28.053,
2002-07,30.170,
2002-10,33.039,
2003-01,38.317,
2003-04,41.444,
2003-07,42.297,
2003-10,42.176,
2004-01,47.309,
2004-04,54.827,
2004-07,56.506,
2004-10,60.111,
2005-01,64.822,
2005-04,67.753,
2005-07,67.599,
2005-10,69.588,
2006-01,70.580,
2006-04,72.071,
2006-07,71.824,
2006-10,73.278,
2007-01,74.395,
2007-04,75.511,
2007-07,75.963,
2007-10,78.056,
2008-01,78.700,
2008-04,80.396,
2008-07,82.711,
2008-10,78.674,
2009-01,82.229,
2009-04,82.645,
2009-07,89.196,
2009-10,92.731,
2010-01,95.532,
2010-04,95.428,
2010-07,95.976,
2010-10,99.124,
2011-01,103.432,
2011-04,102.402,
2011-07,103.059,
2011-10,105.250,
2012-01,110.008,
2012-04,114.645,
2012-07,122.441,
2012-10,127.780,
2013-01,134.331,
2013-04,136.541,
2013-07,139.000,
2013-10,143.198,
2014-01,147.304,
2014-04,150.249,
2014-07,151.707,
