"",BBK01.OEAE32J,BBK01.OEAE32J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:47,
2002-01,0.189,
2002-04,0.194,
2002-07,0.208,
2002-10,0.206,
2003-01,0.196,
2003-04,0.196,
2003-07,0.187,
2003-10,0.185,
2004-01,0.195,
2004-04,0.195,
2004-07,0.189,
2004-10,0.188,
2005-01,0.197,
2005-04,0.196,
2005-07,0.202,
2005-10,0.207,
2006-01,0.205,
2006-04,0.207,
2006-07,0.203,
2006-10,0.191,
2007-01,0.186,
2007-04,0.192,
2007-07,0.188,
2007-10,0.185,
2008-01,0.181,
2008-04,0.180,
2008-07,0.173,
2008-10,0.182,
2009-01,0.184,
2009-04,0.179,
2009-07,0.168,
2009-10,0.167,
2010-01,0.033,
2010-04,0.150,
2010-07,0.136,
2010-10,0.134,
2011-01,0.148,
2011-04,0.145,
2011-07,0.150,
2011-10,0.152,
2012-01,0.152,
2012-04,0.151,
2012-07,0.153,
2012-10,0.152,
2013-01,0.153,
2013-04,0.151,
2013-07,0.148,
2013-10,0.148,
2014-01,0.145,
2014-04,0.144,
2014-07,0.144,
